row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng (Thuyết minh số 6.1),Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Ngày 31 tháng12 năm 2015 > Phải thu khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Ngày 31 tháng12 năm 2014 > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Ngày 31 tháng12 năm 2015 > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Ngày 31 tháng12 năm 2014 > Phải thu khách hàng (Thuyết minh số 6.1)
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,157.771.148.122,129.450.217.259,,157771148122.0,129450217259.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty con,237.628.589.456,258.819.839.201,,237628589456.0,258819839201.0
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,46.744.057.386,35.471.788.387,,46744057386.0,35471788387.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,30.684.482.770,15.126.888.079,,30684482770.0,15126888079.0
Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty con,18.690.487.000,-,,18690487000.0,
Công ty TNHH Lợn giống Dabaco,Công ty TNHH Lợn giống Dabaco,Công ty TNHH Lợn giống Dabaco,Công ty con,16.150.092.674,-,,16150092674.0,
Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty con,15.813.502.016,26.143.552.701,,15813502016.0,26143552701.0
Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty con,298.300.000,1.588.130.956,,298300000.0,1588130956.0
Công ty TNHH câng Dabaco Tân Chi,Công ty TNHH câng Dabaco Tân Chi,Công ty TNHH câng Dabaco Tân Chi,Công ty con,69.479.480,152.008.180,,69479480.0,152008180.0
Công ty TNHH MTV Bất động sản Dabaco,Công ty TNHH MTV Bất động sản Dabaco,Công ty TNHH MTV Bất động sản Dabaco,Công ty con,-,12.040.627.437,,,12040627437.0
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty con,-,1.207.016.824,,,1207016824.0
,,,,523.850.138.904,480.000.069.024,,523850138904.0,480000069024.0
Trả trước cho người bán (Thuyết minh số 6.2),Trả trước cho người bán (Thuyết minh số 6.2),Trả trước cho người bán (Thuyết minh số 6.2),Trả trước cho người bán (Thuyết minh số 6.2),Trả trước cho người bán (Thuyết minh số 6.2),Trả trước cho người bán (Thuyết minh số 6.2),,,
Công ty TNHH MTV Dabaco Tây Bắc,Trả trước cho người bán (Thuyết minh số 6.2) > Công ty TNHH MTV Dabaco Tây Bắc,Công ty TNHH MTV Dabaco Tây Bắc,Công ty con,22.717.372.744,17.512.592.544,,22717372744.0,17512592544.0
,,,,22.717.372.744,17.512.592.544,,22717372744.0,17512592544.0
Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),,,
Công ty TNHH Dịch vụ thương mại Bắc Ninh,Phải trả người bán (Thuyết minh số 15) > Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty con,10.507.916.306,-,,10507916306.0,
Công ty TNHH MTV Thương mại Hiệp Quang,Phải trả người bán (Thuyết minh số 15) > Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,10.280.486.010,6.602.935.762,,10280486010.0,6602935762.0
Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Phải trả người bán (Thuyết minh số 15) > Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty con,7.725.916.764,6.750.433.580,,7725916764.0,6750433580.0
Công ty TNHH Câng Dabaco Tân Chi,Phải trả người bán (Thuyết minh số 15) > Công ty TNHH Câng Dabaco Tân Chi,Công ty TNHH Câng Dabaco Tân Chi,Công ty con,1.386.919.524,1.945.434.450,,1386919524.0,1945434450.0
,,,,29.901.238.604,15.298.803.792,,29901238604.0,15298803792.0
