row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2014 (Trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2015,numeric__Ngày 31 tháng 12 năm 2014 (Trình bày lại)
300,300,300,A. NỘ PHẢI TRẢ,,2.467.388.761.945,2.205.064.934.634,,,2467388761945.0,2205064934634.0
310,310,310,I. Nợ ngắn hạn,,2.246.270.242.744,2.031.913.158.333,,,2246270242744.0,2031913158333.0
311,311,311,1. Phải trả người bán ngắn hạn,15,483.412.907.550,669.474.711.961,,15.0,483412907550.0,669474711961.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,16,73.215.062.432,56.144.407.868,,16.0,73215062432.0,56144407868.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,17,26.687.559.759,41.943.473.460,,17.0,26687559759.0,41943473460.0
314,314,314,4. Phải trả người lao động,,15.313.529.330,14.846.748.330,,,15313529330.0,14846748330.0
315,315,315,5. Chỉ phí phải trả ngắn hạn,18,82.914.282.050,64.605.975.724,,18.0,82914282050.0,64605975724.0
319,319,319,6. Phải trả ngắn hạn khác,19,155.197.710.196,58.172.783.949,,19.0,155197710196.0,58172783949.0
320,320,320,7. Vay và nợ thuê tài chính ngắn hạn,20,1.390.365.559.844,1.095.887.936.420,,20.0,1390365559844.0,1095887936420.0
322,322,322,"8. Quỹ khen thưởng, phúc lợi",21,19.163.631.583,30.837.120.621,,21.0,19163631583.0,30837120621.0
330,330,330,II. Nợ dài hạn,,221.118.519.201,173.151.776.301,,,221118519201.0,173151776301.0
337,337,337,1. Phải trả dài hạn khác,,6.656.000.000,5.260.000.000,,,6656000000.0,5260000000.0
338,338,338,2. Vay và nợ thuê tài chính dài hạn,20,214.462.519.201,167.891.776.301,,20.0,214462519201.0,167891776301.0
400,400,400,B. VỐN CHỦ SỞ HỮU,,1.853.391.992.478,1.803.037.207.374,,,1853391992478.0,1803037207374.0
410,410,410,I. Vốn chủ sở hữu,22,1.853.391.992.478,1.803.037.207.374,,22.0,1853391992478.0,1803037207374.0
411,411,411,1. Vốn cổ phần đã phát hành,22.1,627.419.230.000,627.419.230.000,,221.0,627419230000.0,627419230000.0
411a,411a,411a,- Cổ phiếu cổ đông có quyền biểu quyết,,627.419.230.000,627.419.230.000,,,627419230000.0,627419230000.0
412,412,412,2. Thắng dư vốn cổ phần,22.1,418.333.992.221,418.333.992.221,,221.0,418333992221.0,418333992221.0
418,418,418,3. Quỹ đầu tư phát triển,22.1,679.000.557.599,578.506.359.940,,221.0,679000557599.0,578506359940.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,22.1,128.638.212.658,178.777.625.213,,221.0,128638212658.0,178777625213.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối kỳ trước,,25.866.775.579,30.392.569.190,,,25866775579.0,30392569190.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối kỳ này,,102.771.437.079,148.385.056.023,,,102771437079.0,148385056023.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,4.320.780.754.423,4.008.102.142.008,,,4320780754423.0,4008102142008.0
