row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,209.517.057.577,-,209.517.057.577,209517057577.0,,209517057577.0
Thuê thêm trong năm,Nguyên giá: > Thuê thêm trong năm,Thuê thêm trong năm,94.025.537.536,10.715.040.000,104.740.577.536,94025537536.0,10715040000.0,104740577536.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,303.542.595.113,10.715.040.000,314.257.635.113,303542595113.0,10715040000.0,314257635113.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,16.773.807.658,-,16.773.807.658,16773807658.0,,16773807658.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,33.285.792.437,1.562.609.991,34.848.402.428,33285792437.0,1562609991.0,34848402428.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,50.059.600.095,1.562.609.991,51.622.210.086,50059600095.0,1562609991.0,51622210086.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,192.743.249.919,-,192.743.249.919,192743249919.0,,192743249919.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,253.482.995.018,9.152.430.009,262.635.425.027,253482995018.0,9152430009.0,262635425027.0
