row_label_raw,row_label_full,col_0,Sản xuất và bán thức ăn chăn nuôi,Kinh doanh bất động sản và dịch vụ xây lắp,Hoạt động thương mại khác,Loại trừ,Tổng cộng,numeric__Sản xuất và bán thức ăn chăn nuôi,numeric__Kinh doanh bất động sản và dịch vụ xây lắp,numeric__Hoạt động thương mại khác,numeric__Loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,4.255.280.470.661,6.454.215.454,25.714.458.599,(4.378.926.178),4.283.070.218.536,4255280470661.0,6454215454.0,25714458599.0,-4378926178.0,4283070218536.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận kế toán trước thuế,Kết quả > Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,214.278.151.096,-,275.879.632,-,214.554.030.728,214278151096.0,,275879632.0,,214554030728.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,37.161.600.431,-,60.693.519,-,37.222.293.950,37161600431.0,,60693519.0,,37222293950.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,177.116.550.665,-,215.186.113,-,177.331.736.778,177116550665.0,,215186113.0,,177331736778.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,4.008.102.142.008,,,,,4008102142008.0
Tải sản bộ phận,Tài sản và nợ phải trả > Tải sản bộ phận,Tải sản bộ phận,2.194.508.871.947,1.129.315.973.742,399.085.379,-,3.324.223.931.068,2194508871947.0,1129315973742.0,399085379.0,,3324223931068.0
Tải sản không phân bổ (*),Tài sản và nợ phải trả > Tải sản không phân bổ (*),Tải sản không phân bổ (*),,,,,683.878.210.940,,,,,683878210940.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,-,-,2.205.064.934.634,,,,,2205064934634.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.100.506.006.427,103.680.386.349,878.541.858,-,2.205.064.934.634,2100506006427.0,103680386349.0,878541858.0,,2205064934634.0
