row_label_raw,row_label_full,Công ty cho thuê > Các khoản nợ thuê tài chính,Ngày 31 tháng 12năm 2015 > 186.610.015.524,Kỳ hạn trả gốc và lãi > Gốc vay được trả làncuối trong giai đoạn từtháng 9 năm 2017 đếntháng 4 năm 2021. Lãivay trả hàng tháng.,"Đơn vị tính: VND > Lãi suất năm > 8%-11% hoặc lãisuất 6 tháng đầulà 11%/năm, sauđó bằng lãi suấtcho thuê tài chínhcơ bản +2,4%/năm (đượcđiều chỉnh mỗi 6tháng).",numeric__Ngày 31 tháng 12năm 2015 > 186.610.015.524,numeric__Kỳ hạn trả gốc và lãi > Gốc vay được trả làncuối trong giai đoạn từtháng 9 năm 2017 đếntháng 4 năm 2021. Lãivay trả hàng tháng.,"numeric__Đơn vị tính: VND > Lãi suất năm > 8%-11% hoặc lãisuất 6 tháng đầulà 11%/năm, sauđó bằng lãi suấtcho thuê tài chínhcơ bản +2,4%/năm (đượcđiều chỉnh mỗi 6tháng)."
Tổng cộng,Tổng cộng,Tổng cộng,186.610.015.524,,,186610015524.0,,
Trong đó:Nợ dài hạn đến hạn trảNợ dài hạn,Trong đó:Nợ dài hạn đến hạn trảNợ dài hạn,Trong đó:Nợ dài hạn đến hạn trảNợ dài hạn,48.048.505.266138.561.510.258,,,4.804850526613856e+22,,
