row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị ghi số (đồng thời là giá gốc) > Ngày 31 tháng 12năm 2015,Đơn vị tính: VND > Giá trị ghi số (đồng thời là giá gốc) > Ngày 31 tháng 12năm 2014(Trình bày lại),numeric__Đơn vị tính: VND > Giá trị ghi số (đồng thời là giá gốc) > Ngày 31 tháng 12năm 2015,numeric__Đơn vị tính: VND > Giá trị ghi số (đồng thời là giá gốc) > Ngày 31 tháng 12năm 2014(Trình bày lại)
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,268.642.627.489,82.150.555.552,268642627489.0,82150555552.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,268.642.627.489,82.150.555.552,268642627489.0,82150555552.0
