row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Ngày 31 tháng 12 năm 2015,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Ngày 31 tháng 12 năm 2014,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Ngày 31 tháng 12 năm 2015,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Ngày 31 tháng 12 năm 2014
Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,309.978.316.689,543.407.502.031,309978316689.0,543407502031.0
- Crossland Marketing Pte Ltd,- Crossland Marketing Pte Ltd,- Crossland Marketing Pte Ltd,142.592.362.500,-,142592362500.0,
- International Asia,- International Asia,- International Asia,59.494.431.692,-,59494431692.0,
- Bunge Agribusiness Singapore Pte Ltd,- Bunge Agribusiness Singapore Pte Ltd,- Bunge Agribusiness Singapore Pte Ltd,-,305.572.917.219,,305572917219.0
- Sojitz Asia Pte Ltd,- Sojitz Asia Pte Ltd,- Sojitz Asia Pte Ltd,-,206.116.316.187,,206116316187.0
- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,107.891.522.497,31.718.268.625,107891522497.0,31718268625.0
Phải trả nhà cung cấp khác,Phải trả nhà cung cấp khác,Phải trả nhà cung cấp khác,143.533.352.257,110.768.406.138,143533352257.0,110768406138.0
Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 30),Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 30),Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 30),29.901.238.604,15.298.803.792,29901238604.0,15298803792.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,483.412.907.550,669.474.711.961,483412907550.0,669474711961.0
