row_label_raw,row_label_full,Ông Nguyễn Như So,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Nguyễn Khắc Thảo,Ông Nguyễn Khắc Thảo,Ông Nguyễn Khắc Thảo,Phó Chủ tịch,Bổ nhiệm ngày 26 tháng 4 năm 2015,,
Ông Nguyễn Văn Quân,Ông Nguyễn Văn Quân,Ông Nguyễn Văn Quân,Phó Chủ tịch,Miễn nhiệm ngày 26 tháng 4 năm 2015,,
Ông Nguyễn Văn Tuân,Ông Nguyễn Văn Tuân,Ông Nguyễn Văn Tuân,Phó Chủ tịch,Miễn nhiệm ngày 26 tháng 4 năm 2015,,
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Thành viên,,,
Ông Nguyễn Thế Tường,Ông Nguyễn Thế Tường,Ông Nguyễn Thế Tường,Thành viên,,,
Ông Nguyễn Hoàng Nguyên,Ông Nguyễn Hoàng Nguyên,Ông Nguyễn Hoàng Nguyên,Thành viên,,,
Ông Nguyễn Đình Toàn,Ông Nguyễn Đình Toàn,Ông Nguyễn Đình Toàn,Thành viên,Bổ nhiệm ngày 26 tháng 4 năm 2015,,
Ông Trần Xuân Mạnh,Ông Trần Xuân Mạnh,Ông Trần Xuân Mạnh,Thành viên,Bổ nhiệm ngày 26 tháng 4 năm 2015,,
Ông Lê Quốc Đoàn,Ông Lê Quốc Đoàn,Ông Lê Quốc Đoàn,Thành viên,Bổ nhiệm ngày 26 tháng 4 năm 2015,,
Bà Nguyễn Thanh Hương,Bà Nguyễn Thanh Hương,Bà Nguyễn Thanh Hương,Thành viên,Bổ nhiệm ngày 26 tháng 4 năm 2015,,
Ông Nguyễn Khắc Thảo,Ông Nguyễn Khắc Thảo,Ông Nguyễn Khắc Thảo,Thành viên,Miễn nhiệm ngày 26 tháng 4 năm 2015,,
Ông Nguyễn Văn Mạnh,Ông Nguyễn Văn Mạnh,Ông Nguyễn Văn Mạnh,Thành viên,Miễn nhiệm ngày 26 tháng 4 năm 2015,,
Ông Tạ Hữu Khôi,Ông Tạ Hữu Khôi,Ông Tạ Hữu Khôi,Thành viên,Miễn nhiệm ngày 26 tháng 4 năm 2015,,
