row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 6 tháng,Từ 6 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 6 tháng,numeric__Từ 6 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,205.162,,-,-,-,-,-,205.162,,205162.0,,,,,,,205162.0
Tiền gối tại ngân hàng Nhà nước,Tiền gối tại ngân hàng Nhà nước,Tiền gối tại ngân hàng Nhà nước,-,-,530.440,-,-,-,-,-,530.440,,,530440.0,,,,,,530440.0
"Tiền, vàng gối tại và cho vay các TCTD khác (*)","Tiền, vàng gối tại và cho vay các TCTD khác (*)","Tiền, vàng gối tại và cho vay các TCTD khác (*)",-,-,3.184.975,1.908.000,520.000,-,-,-,5.612.975,,,3184975.0,1908000.0,520000.0,,,,5612975.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,-,27.344,-,-,-,-,27.344,,,,27344.0,,,,,27344.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),263.545,-,45.561,407.372,221.891,5.453.411,6.239.228,3.871.131,16.502.139,263545.0,,45561.0,407372.0,221891.0,5453411.0,6239228.0,3871131.0,16502139.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,,-,-,-,-,657.446,-,657.446,,,,,,,657446.0,,657446.0
"Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,-,666.383,666.383,,,,,,,,666383.0,666383.0
Tài sản cố định và Bắt động sản đầu tư,Tài sản cố định và Bắt động sản đầu tư,Tài sản cố định và Bắt động sản đầu tư,-,-,-,-,-,-,-,1.160.844,1.160.844,,,,,,,,1160844.0,1160844.0
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*),-,373.857,-,-,-,-,-,-,373.857,,373857.0,,,,,,,373857.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,263.545,579.019,3.760.976,2.342.716,741.891,5.453.411,6.896.674,5.698.358,25.736.590,263545.0,579019.0,3760976.0,2342716.0,741891.0,5453411.0,6896674.0,5698358.0,25736590.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,,42.737,2.298.124,-,-,741,1.429,2.343.031,,,42737.0,2298124.0,,,741.0,1429.0,2343031.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,,5.433.031,904.047,3.115.861,53.981,9.210.408,,18.717.328,,,5433031.0,904047.0,3115861.0,53981.0,9210408.0,,18717328.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,450.408,-,-,,-,-,450.408,,,450408.0,,,,,,450408.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,-,5.926.176,3.202.171,3.115.861,53.981,9.211.149,1.429,21.510.767,,,5926176.0,3202171.0,3115861.0,53981.0,9211149.0,1429.0,21510767.0
Mức chênh lệch nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội bảng,Mức chênh lệch nhạy cảm với lãi suất nội bảng,263.545,579.019,(2.165.200),(859.455),(2.373.970),5.399.430,(2.314.475),5.696.929,4.225.823,263545.0,579019.0,-2165200.0,-859455.0,-2373970.0,5399430.0,-2314475.0,5696929.0,4225823.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),-,(2.062.138),-,-,-,-,-,-,(2.062.138),,-2062138.0,,,,,,,-2062138.0
"Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng","Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng",263.545,(1.483.119),(2.165.200),(859.455),(2.373.970),5.399.430,(2.314.475),5.696.929,2.163.685,263545.0,-1483119.0,-2165200.0,-859455.0,-2373970.0,5399430.0,-2314475.0,5696929.0,2163685.0
