row_label_raw,row_label_full,Chỉ tiêu,Số dư đầu năm,Số phải nộp,Số đã nộp,Số dư cuối năm,numeric__Số dư đầu năm,numeric__Số phải nộp,numeric__Số đã nộp,numeric__Số dư cuối năm
1. Thuế GTGT,1. Thuế GTGT,1. Thuế GTGT,715,5.209,5.311,613,715.0,5209.0,5311.0,613.0
2. Thuế TNDN,2. Thuế TNDN,2. Thuế TNDN,23.810,30.834,46.460,8.184,23810.0,30834.0,46460.0,8184.0
a. Thuế TNDN,a. Thuế TNDN,a. Thuế TNDN,23.810,29.761,45.387,8.184,23810.0,29761.0,45387.0,8184.0
b. Thuế TNDN nhàthầu nước ngoài,b. Thuế TNDN nhàthầu nước ngoài,b. Thuế TNDN nhàthầu nước ngoài,,1.073,1.073,-,,1073.0,1073.0,
"3. Các khoản phí, lệ phí và các khoản phải nộp khác","3. Các khoản phí, lệ phí và các khoản phải nộp khác","3. Các khoản phí, lệ phí và các khoản phải nộp khác",491,4.396,4.650,237,491.0,4396.0,4650.0,237.0
Tổng cộng,Tổng cộng,Tổng cộng,25.016,40.439,56.421,9.034,25016.0,40439.0,56421.0,9034.0
