row_label_raw,row_label_full,Chỉ tiêu,EUR được quy đổi,USD được quy đổi,Giá trị vàng tiền tệ được quy đổi,Các ngoại tệ khác được quy đổi,Tổng,numeric__EUR được quy đổi,numeric__USD được quy đổi,numeric__Giá trị vàng tiền tệ được quy đổi,numeric__Các ngoại tệ khác được quy đổi,numeric__Tổng
Tài sản,Tài sản,Tài sản,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",465,15.824,-,399,16.688,465.0,15824.0,,399.0,16688.0
Tiền gỏi tại ngân hàng Nhà nước,Tài sản > Tiền gỏi tại ngân hàng Nhà nước,Tiền gỏi tại ngân hàng Nhà nước,-,33.377,-,-,33.377,,33377.0,,,33377.0
"Tiền, vàng gỏi tại và cho vay các TCTD khác (*)","Tài sản > Tiền, vàng gỏi tại và cho vay các TCTD khác (*)","Tiền, vàng gỏi tại và cho vay các TCTD khác (*)",7.098,4.273.689,-,3.266,4.284.053,7098.0,4273689.0,,3266.0,4284053.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,(3.236.800),-,-,(3.236.800),,-3236800.0,,,-3236800.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,797.472,-,-,797.472,,797472.0,,,797472.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),-,5.443,-,-,5.443,,5443.0,,,5443.0
Tổng Tài sản,Tài sản > Tổng Tài sản,Tổng Tài sản,7.563,1.889.005,-,3.665,1.900.233,7563.0,1889005.0,,3665.0,1900233.0
Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả và Vốn chủ sở hữu > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,1.089.126,-,-,1.089.126,,1089126.0,,,1089126.0
Tiền gửi của khách hàng,Nợ phải trả và Vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,6.266,389.990,-,10,396.266,6266.0,389990.0,,10.0,396266.0
Các khoản nợ khác,Nợ phải trả và Vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,92,1.202,-,4,1.298,92.0,1202.0,,4.0,1298.0
Tổng Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu > Tổng Nợ phải trả và Vốn chủ sở hữu,Tổng Nợ phải trả và Vốn chủ sở hữu,6.358,1.480.318,-,14,1.486.690,6358.0,1480318.0,,14.0,1486690.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và Vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,1.205,408.687,-,3.651,413.543,1205.0,408687.0,,3651.0,413543.0
Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,-,-,-,-,,,,,
"Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ ngoại bảng > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",1.205,408.687,-,3.651,413.543,1205.0,408687.0,,3651.0,413543.0
