row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Thiết bị dụng cụ quản lý,Tài sản cố định khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,1.039.395,70.872,55.388,48.386,15.981,1.230.022,1039395.0,70872.0,55388.0,48386.0,15981.0,1230022.0
- Mua trong năm,Nguyên giá TSCĐ hữu hình > - Mua trong năm,- Mua trong năm,-,9.788,-,5.737,2.315,17.840,,9788.0,,5737.0,2315.0,17840.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá TSCĐ hữu hình > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,39.082,-,-,-,-,39.082,39082.0,,,,,39082.0
- Tăng do điều chuyển,Nguyên giá TSCĐ hữu hình > - Tăng do điều chuyển,- Tăng do điều chuyển,-,239,1.106,-,71,1.416,,239.0,1106.0,,71.0,1416.0
- Tăng do điều chỉnh,Nguyên giá TSCĐ hữu hình > - Tăng do điều chỉnh,- Tăng do điều chỉnh,149,122,-,3,30,304,149.0,122.0,,3.0,30.0,304.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(117),(33),(157),(1.018),(1.325),,-117.0,-33.0,-157.0,-1018.0,-1325.0
- Giảm do điều chuyển,Nguyên giá TSCĐ hữu hình > - Giảm do điều chuyển,- Giảm do điều chuyển,-,(577),(1.106),(32),(164),(1.879),,-577.0,-1106.0,-32.0,-164.0,-1879.0
- Giảm do điều chỉnh,Nguyên giá TSCĐ hữu hình > - Giảm do điều chỉnh,- Giảm do điều chỉnh,(149),(122),,(3),(30),(304),-149.0,-122.0,,-3.0,-30.0,-304.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,1.078.477,80.205,55.355,53.934,17.185,1.285.156,1078477.0,80205.0,55355.0,53934.0,17185.0,1285156.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,335.607,67.735,50.888,34.545,10.936,499.711,335607.0,67735.0,50888.0,34545.0,10936.0,499711.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,42.759,2.409,1.472,4.926,1.738,53.304,42759.0,2409.0,1472.0,4926.0,1738.0,53304.0
- Tăng do điều chuyển,Giá trị hao mòn lũy kế > - Tăng do điều chuyển,- Tăng do điều chuyển,-,-,741,-,-,741,,,741.0,,,741.0
- Tăng do điều chỉnh,Giá trị hao mòn lũy kế > - Tăng do điều chỉnh,- Tăng do điều chỉnh,11,17,11,-,8,47,11.0,17.0,11.0,,8.0,47.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(117),(33),(157),(1.011),(1.318),,-117.0,-33.0,-157.0,-1011.0,-1318.0
- Giảm do điều chuyển,Giá trị hao mòn lũy kế > - Giảm do điều chuyển,- Giảm do điều chuyển,-,(339),(741),(33),(93),(1.206),,-339.0,-741.0,-33.0,-93.0,-1206.0
- Giảm do điều chỉnh,Giá trị hao mòn lũy kế > - Giảm do điều chỉnh,- Giảm do điều chỉnh,(11),(17),(11),(1),(7),(47),-11.0,-17.0,-11.0,-1.0,-7.0,-47.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,378.366,69.688,52.327,39.280,11.571,551.232,378366.0,69688.0,52327.0,39280.0,11571.0,551232.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,703.788,3.137,4.500,13.841,5.045,730.311,703788.0,3137.0,4500.0,13841.0,5045.0,730311.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,700.111,10.517,3.028,14.654,5.614,733.924,700111.0,10517.0,3028.0,14654.0,5614.0,733924.0
