row_label_raw,row_label_full,(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:,(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_1,(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_2,numeric__(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_1,numeric__(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_2
Tiền đã chi cho khách hàng vay hỗ trợ lãi suất,Tiền đã chi cho khách hàng vay hỗ trợ lãi suất,Tiền đã chi cho khách hàng vay hỗ trợ lãi suất,67.592,,67592.0,
Các khoản đã nhận tiền hỗ trợ lãi suất,Các khoản đã nhận tiền hỗ trợ lãi suất,Các khoản đã nhận tiền hỗ trợ lãi suất,(62.928),,-62928.0,
Khoản tiền còn phải thu hỗ trợ chờ nhà nước thanh toán,Khoản tiền còn phải thu hỗ trợ chờ nhà nước thanh toán,Khoản tiền còn phải thu hỗ trợ chờ nhà nước thanh toán,4.664,,4664.0,
14.4 Tài sản có khác,14.4 Tài sản có khác,14.4 Tài sản có khác,31/12/2021,31/12/2020,,
- Chi phí chờ phân bổ,14.4 Tài sản có khác > - Chi phí chờ phân bổ,- Chi phí chờ phân bổ,4.395,7.769,4395.0,7769.0
- Tài sản gán nợ đã chuyển quyền sở hữu cho Ngân hàng đang chờ xử lý,14.4 Tài sản có khác > - Tài sản gán nợ đã chuyển quyền sở hữu cho Ngân hàng đang chờ xử lý,- Tài sản gán nợ đã chuyển quyền sở hữu cho Ngân hàng đang chờ xử lý,-,45.754,,45754.0
+ Bất động sản,14.4 Tài sản có khác > + Bất động sản,+ Bất động sản,-,45.754,,45754.0
- Tài sản khác,14.4 Tài sản có khác > - Tài sản khác,- Tài sản khác,856,894,856.0,894.0
Cộng,14.4 Tài sản có khác > Cộng,Cộng,5.251,54.417,5251.0,54417.0
14.5 Dự phòng rủi ro các tài sản có nội bằng khác,14.5 Dự phòng rủi ro các tài sản có nội bằng khác,14.5 Dự phòng rủi ro các tài sản có nội bằng khác,14.5 Dự phòng rủi ro các tài sản có nội bằng khác,14.5 Dự phòng rủi ro các tài sản có nội bằng khác,,
- Dự phòng phải thu khó đòi,14.5 Dự phòng rủi ro các tài sản có nội bằng khác > - Dự phòng phải thu khó đòi,- Dự phòng phải thu khó đòi,(14.489),-,-14489.0,
"Tham ô, thiếu mất tiên, tài sản thiếu chờ xử lý (*)","14.5 Dự phòng rủi ro các tài sản có nội bằng khác > Tham ô, thiếu mất tiên, tài sản thiếu chờ xử lý (*)","Tham ô, thiếu mất tiên, tài sản thiếu chờ xử lý (*)",(14.489),-,-14489.0,
Cộng,14.5 Dự phòng rủi ro các tài sản có nội bằng khác > Cộng,Cộng,(14.489),-,-14489.0,
