row_label_raw,row_label_full,"1. Tiền mặt, vàng bạc, đá quý","1. Tiền mặt, vàng bạc, đá quý_1","1. Tiền mặt, vàng bạc, đá quý_2","numeric__1. Tiền mặt, vàng bạc, đá quý_1","numeric__1. Tiền mặt, vàng bạc, đá quý_2"
,,,31/12/2021,31/12/2020,,
Tiền mặt bằng VND,Tiền mặt bằng VND,Tiền mặt bằng VND,185.329,154.120,185329.0,154120.0
Tiền mặt bằng ngoại tệ,Tiền mặt bằng ngoại tệ,Tiền mặt bằng ngoại tệ,19.833,16.687,19833.0,16687.0
Tổng cộng,Tổng cộng,Tổng cộng,205.162,170.807,205162.0,170807.0
2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,,
,,,31/12/2021,31/12/2020,,
Tiền gửi thanh toán tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước > Tiền gửi thanh toán tại Ngân hàng Nhà nước,Tiền gửi thanh toán tại Ngân hàng Nhà nước,530.440,560.297,530440.0,560297.0
Bằng VND,2. Tiền gửi tại Ngân hàng Nhà nước > Bằng VND,Bằng VND,431.162,526.920,431162.0,526920.0
Bằng vàng và ngoại tệ,2. Tiền gửi tại Ngân hàng Nhà nước > Bằng vàng và ngoại tệ,Bằng vàng và ngoại tệ,99.278,33.377,99278.0,33377.0
Tổng cộng,2. Tiền gửi tại Ngân hàng Nhà nước > Tổng cộng,Tổng cộng,530.440,560.297,530440.0,560297.0
