row_label_raw,row_label_full,Tại ngày cuối năm,Tổng giá trị của hợp đồng(theo tỷ giá ngày hiệu lựchợp đồng) > Tại ngày cuối năm,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Tài sản > Tại ngày cuối năm,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Công nợ > Tại ngày cuối năm,numeric__Tổng giá trị của hợp đồng(theo tỷ giá ngày hiệu lựchợp đồng) > Tại ngày cuối năm,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Tài sản > Tại ngày cuối năm,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Công nợ > Tại ngày cuối năm
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,27.344,-,,27344.0,
- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,1.724.444,27.344,-,1724444.0,27344.0,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày đầu năm > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,6.585,-,,6585.0,
- Giao dịch hoán đổi tiền tệ,Tại ngày đầu năm > - Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,3.243.385,6.585,-,3243385.0,6585.0,
Công cụ tài chính phải sinh tiền tệ,Tại ngày đầu năm > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,1.724.444,27.344,-,1724444.0,27344.0,
