row_label_raw,row_label_full,col_0,col_1,01/01/2019(VND) > Giá trị,01/01/2019(VND) > Khả năngtrả nợ,Tăng trong năm,Giảm trong năm,31/12/2019(VND) > Giá trị,31/12/2019(VND) > Khả năngtrả nợ,numeric__col_1,numeric__01/01/2019(VND) > Giá trị,numeric__01/01/2019(VND) > Khả năngtrả nợ,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__31/12/2019(VND) > Giá trị,numeric__31/12/2019(VND) > Khả năngtrả nợ
a.,a.,a.,Gốc vay ngắn hạn,-,-,1.135.000.000.000,485.000.000.000,650.000.000.000,650.000.000.000,,,,1135000000000.0,485000000000.0,650000000000.0,650000000000.0
a.1,a.1,a.1,Gốc vay ngắn hạn,-,-,1.135.000.000.000,485.000.000.000,650.000.000.000,650.000.000.000,,,,1135000000000.0,485000000000.0,650000000000.0,650000000000.0
a.1,a.1,a.1,Vay ngân hàng,-,-,1.135.000.000.000,485.000.000.000,650.000.000.000,650.000.000.000,,,,1135000000000.0,485000000000.0,650000000000.0,650000000000.0
b.,b.,b.,Gốc vay và nợ dài hạn,10.484.587.493.602,10.484.587.493.602,483.070.662.584,2.063.946.688.305,8.903.711.467.881,8.903.711.467.881,,10484587493602.0,10484587493602.0,483070662584.0,2063946688305.0,8903711467881.0,8903711467881.0
b1.,b1.,b1.,Gốc vay dài hạn,10.084.587.493.602,10.084.587.493.602,483.070.662.584,2.063.946.688.305,8.503.711.467.881,8.503.711.467.881,,10084587493602.0,10084587493602.0,483070662584.0,2063946688305.0,8503711467881.0,8503711467881.0
-,-,-,Từ 1 năm đến 5 năm,14.661.252.500,14.661.252.500,21.636.570.034,8.660.715.000,27.637.107.534,27.637.107.534,,14661252500.0,14661252500.0,21636570034.0,8660715000.0,27637107534.0,27637107534.0
-,-,-,Vay ngân hàng,14.661.252.500,14.661.252.500,21.636.570.034,8.660.715.000,27.637.107.534,27.637.107.534,,14661252500.0,14661252500.0,21636570034.0,8660715000.0,27637107534.0,27637107534.0
-,-,-,Trên 5 năm,10.069.926.241.102,10.069.926.241.102,461.434.092.550,2.055.285.973.305,8.476.074.360.347,8.476.074.360.347,,10069926241102.0,10069926241102.0,461434092550.0,2055285973305.0,8476074360347.0,8476074360347.0
-,-,-,Vay ngân hàng,4.157.586.388.820,4.157.586.388.820,436.028.750.000,666.018.676.902,3.927.596.461.918,3.927.596.461.918,,4157586388820.0,4157586388820.0,436028750000.0,666018676902.0,3927596461918.0,3927596461918.0
-,-,-,Vay Tập đoàn,5.912.339.852.282,5.912.339.852.282,25.405.342.550,1.389.267.296.403,4.548.477.898.429,4.548.477.898.429,,5912339852282.0,5912339852282.0,25405342550.0,1389267296403.0,4548477898429.0,4548477898429.0
b2.,b2.,b2.,Gốc nợ dài hạn,400.000.000.000,400.000.000.000,-,-,400.000.000.000,400.000.000.000,,400000000000.0,400000000000.0,,,400000000000.0,400000000000.0
-,-,-,Từ 5 năm đến 10 năm,400.000.000.000,400.000.000.000,-,-,400.000.000.000,400.000.000.000,,400000000000.0,400000000000.0,,,400000000000.0,400000000000.0
-,-,-,Trái phiếu phát hành (*),400.000.000.000,400.000.000.000,-,-,400.000.000.000,400.000.000.000,,400000000000.0,400000000000.0,,,400000000000.0,400000000000.0
-,-,-,Cộng,10.484.587.493.602,10.484.587.493.602,-,-,9.553.711.467.881,9.553.711.467.881,,10484587493602.0,10484587493602.0,,,9553711467881.0,9553711467881.0
