row_label_raw,row_label_full,col_0,Năm 2019(VND),numeric__Năm 2019(VND)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,585.912.885.300,585912885300.0
"Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:","Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:","Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế thu nhập doanh nghiệp:",524.706.556.992,524706556992.0
- Các khoản điều chỉnh tăng,- Các khoản điều chỉnh tăng,- Các khoản điều chỉnh tăng,551.744.056.992,551744056992.0
Chi phí không hợp lệ,Chi phí không hợp lệ,Chi phí không hợp lệ,1.774.054.076,1774054076.0
Điều chỉnh tăng lợi nhuận trước thuế do hoàn nhập dự phòng theo Thông tư 48/2019/TT-BTC,Điều chỉnh tăng lợi nhuận trước thuế do hoàn nhập dự phòng theo Thông tư 48/2019/TT-BTC,Điều chỉnh tăng lợi nhuận trước thuế do hoàn nhập dự phòng theo Thông tư 48/2019/TT-BTC,549.970.002.916,549970002916.0
- Các khoản điều chỉnh giảm,- Các khoản điều chỉnh giảm,- Các khoản điều chỉnh giảm,(27.037.500.000),-27037500000.0
Thu nhập được miễn thuế,Thu nhập được miễn thuế,Thu nhập được miễn thuế,(27.037.500.000),-27037500000.0
Tổng thu nhập chịu thuế,Tổng thu nhập chịu thuế,Tổng thu nhập chịu thuế,1.110.619.442.292,1110619442292.0
Chuyển lỗ năm trước,Chuyển lỗ năm trước,Chuyển lỗ năm trước,-,
Thu nhập tính thuế,Chuyển lỗ năm trước > Thu nhập tính thuế,Thu nhập tính thuế,1.110.619.442.292,1110619442292.0
- Thu nhập được hưởng ưu đãi thuế với thuế suất 10%,Chuyển lỗ năm trước > - Thu nhập được hưởng ưu đãi thuế với thuế suất 10%,- Thu nhập được hưởng ưu đãi thuế với thuế suất 10%,778.152.531.571,778152531571.0
- Thu nhập chịu thuế suất 20%,Chuyển lỗ năm trước > - Thu nhập chịu thuế suất 20%,- Thu nhập chịu thuế suất 20%,332.466.910.721,332466910721.0
Thuế suất thuế TNDN được hưởng ưu đãi,Chuyển lỗ năm trước > Thuế suất thuế TNDN được hưởng ưu đãi,Thuế suất thuế TNDN được hưởng ưu đãi,10%,0.1
Thuế suất thuế TNDN hoạt động không được hưởng ưu đãi,Chuyển lỗ năm trước > Thuế suất thuế TNDN hoạt động không được hưởng ưu đãi,Thuế suất thuế TNDN hoạt động không được hưởng ưu đãi,20%,0.2
Thuế TNDN phải nộp,Chuyển lỗ năm trước > Thuế TNDN phải nộp,Thuế TNDN phải nộp,144.308.635.301,144308635301.0
Thuế TNDN được miễn giảm,Thuế TNDN được miễn giảm,Thuế TNDN được miễn giảm,-,
Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước,Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước,Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước,-,
Tổng chi phí thuế TNDN hiện hành,Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước > Tổng chi phí thuế TNDN hiện hành,Tổng chi phí thuế TNDN hiện hành,144.308.635.301,144308635301.0
