row_label_raw,row_label_full,TÀI SẢN NGĂN HẠN,Mã số,TM,31/12/2019,01/01/2019,numeric__Mã số,numeric__TM,numeric__31/12/2019,numeric__01/01/2019
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,5.320.823.062.211,4.029.945.370.445,100.0,,5320823062211.0,4029945370445.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5.1,229.730.030.066,300.087.599.256,110.0,51.0,229730030066.0,300087599256.0
Tiền,Tiền,Tiền,111,,229.730.030.066,50.087.599.256,111.0,,229730030066.0,50087599256.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,-,250.000.000.000,112.0,,,250000000000.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,5.2,10.000.000.000,-,120.0,52.0,10000000000.0,
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,10.000.000.000,-,123.0,,10000000000.0,
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,4.926.610.253.160,3.601.742.566.643,130.0,,4926610253160.0,3601742566643.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5.4,3.410.976.544.649,2.401.781.062.858,131.0,54.0,3410976544649.0,2401781062858.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,3.710.747.270,2.547.869.820,132.0,,3710747270.0,2547869820.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,5.3,927.445.893.663,650.001.015.403,135.0,53.0,927445893663.0,650001015403.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,5.5,584.477.067.578,547.468.349.562,136.0,55.0,584477067578.0,547468349562.0
Dự phòng phải thu ngắn hạn khó đòi (*),Dự phòng phải thu ngắn hạn khó đòi (*),Dự phòng phải thu ngắn hạn khó đòi (*),137,5.6,-,(55.731.000),137.0,56.0,,-55731000.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,5.7,100.160.213.884,74.949.208.031,140.0,57.0,100160213884.0,74949208031.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,100.160.213.884,74.949.208.031,141.0,,100160213884.0,74949208031.0
Dự phòng giảm giá hàng tồn kho (*),Dự phòng giảm giá hàng tồn kho (*),Dự phòng giảm giá hàng tồn kho (*),149,,-,-,149.0,,,
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,54.322.565.101,53.165.996.515,150.0,,54322565101.0,53165996515.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,5.11,804.261.136,935.326.403,151.0,511.0,804261136.0,935326403.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,43.146.632.750,52.230.670.112,152.0,,43146632750.0,52230670112.0
Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,153,5.14,10.371.671.215,-,153.0,514.0,10371671215.0,
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,14.830.504.264.276,16.102.275.681.926,200.0,,14830504264276.0,16102275681926.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,1.938.227.189.635,1.729.650.492.060,210.0,,1938227189635.0,1729650492060.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,5.3,1.937.261.637.257,1.728.684.939.682,215.0,53.0,1937261637257.0,1728684939682.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,5.5,965.552.378,965.552.378,216.0,55.0,965552378.0,965552378.0
Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),219,5.6,-,-,219.0,56.0,,
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,10.243.189.086.011,11.674.065.699.414,220.0,,10243189086011.0,11674065699414.0
TSCĐ hữu hình,TSCĐ hữu hình,TSCĐ hữu hình,221,5.9,10.206.999.886.358,11.635.867.097.237,221.0,59.0,10206999886358.0,11635867097237.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,22.011.070.496.637,21.934.363.289.622,222.0,,22011070496637.0,21934363289622.0
- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),223,,(11.804.070.610.279),(10.298.496.192.385),223.0,,-11804070610279.0,-10298496192385.0
TSCĐ vô hình,TSCĐ vô hình,TSCĐ vô hình,227,5.10,36.189.199.653,38.198.602.177,227.0,510.0,36189199653.0,38198602177.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,45.955.964.240,44.953.363.240,228.0,,45955964240.0,44953363240.0
- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),229,,(9.766.764.587),(6.754.761.063),229.0,,-9766764587.0,-6754761063.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,5.8,65.429.110.558,67.532.275.452,240.0,58.0,65429110558.0,67532275452.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,873.587.951,-,241.0,,873587951.0,
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,,64.555.522.607,67.532.275.452,242.0,,64555522607.0,67532275452.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,5.2,2.151.137.113.804,2.147.490.644.767,250.0,52.0,2151137113804.0,2147490644767.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,,1.883.306.772.926,1.883.306.772.926,251.0,,1883306772926.0,1883306772926.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,,1.224.938.734.159,1.224.938.734.159,253.0,,1224938734159.0,1224938734159.0
Dự phòng giảm giá đầu tư tài chính dài hạn (*),Dự phòng giảm giá đầu tư tài chính dài hạn (*),Dự phòng giảm giá đầu tư tài chính dài hạn (*),254,,(957.108.393.281),(960.754.862.318),254.0,,-957108393281.0,-960754862318.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,432.521.764.268,483.536.570.233,260.0,,432521764268.0,483536570233.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,5.11,194.692.962.084,342.796.803.244,261.0,511.0,194692962084.0,342796803244.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,5.17,109.994.000.583,-,262.0,517.0,109994000583.0,
