row_label_raw,row_label_full,31/12/2019(VND),01/01/2019(VND),numeric__01/01/2019(VND)
873.587.951,873.587.951,873.587.951,-,
873.587.951,873.587.951,873.587.951,-,
64.555.522.607,873.587.951 > 64.555.522.607,64.555.522.607,67.532.275.452,67532275452.0
-,-,-,-,
62.530.955.238,- > 62.530.955.238,62.530.955.238,60.806.305.452,60806305452.0
23.659.039.307,- > 23.659.039.307,23.659.039.307,22.035.262.307,22035262307.0
30.192.553.413,- > 30.192.553.413,30.192.553.413,28.982.665.777,28982665777.0
2.946.467.500,- > 2.946.467.500,2.946.467.500,2.946.467.500,2946467500.0
5.732.895.018,- > 5.732.895.018,5.732.895.018,6.841.909.868,6841909868.0
2.024.567.369,- > 2.024.567.369,2.024.567.369,6.725.970.000,6725970000.0
65.429.110.558,- > 65.429.110.558,65.429.110.558,67.532.275.452,67532275452.0
