row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2019,Giá trị ghi sổ > 01/01/2019,Giá trị hợp lý > 31/12/2019,Giá trị hợp lý > 01/01/2019,numeric__Giá trị ghi sổ > 31/12/2019,numeric__Giá trị ghi sổ > 01/01/2019,numeric__Giá trị hợp lý > 31/12/2019,numeric__Giá trị hợp lý > 01/01/2019
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Các khoản đầu tư tài chính,Tài sản tài chính > Các khoản đầu tư tài chính,Các khoản đầu tư tài chính,1.234.938.734.159,1.223.496.734.159,1.234.938.734.159,1.222.054.734.159,1234938734159.0,1223496734159.0,1234938734159.0,1222054734159.0
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,
Phải thu khách hàng,Các khoản cho vay và phải thu > Phải thu khách hàng,Phải thu khách hàng,3.410.976.544.649,2.401.781.062.858,3.410.976.544.649,2.401.781.062.858,3410976544649.0,2401781062858.0,3410976544649.0,2401781062858.0
Các khoản PT khác,Các khoản cho vay và phải thu > Các khoản PT khác,Các khoản PT khác,3.449.621.230.876,548.433.901.940,3.449.621.230.876,548.378.170.940,3449621230876.0,548433901940.0,3449621230876.0,548378170940.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính sẵn sàng để bán > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,229.730.030.066,300.087.599.256,229.730.030.066,300.087.599.256,229730030066.0,300087599256.0,229730030066.0,300087599256.0
Tổng cộng,Tài sản tài chính sẵn sàng để bán > Tổng cộng,Tổng cộng,8.325.266.539.750,4.473.799.298.213,8.325.266.539.750,4.472.301.567.213,8325266539750.0,4473799298213.0,8325266539750.0,4472301567213.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,2.209.580.792.541,1.284.386.558.567,2.209.580.792.541,1.284.386.558.567,2209580792541.0,1284386558567.0,2209580792541.0,1284386558567.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,659.493.350.597,771.384.513.583,659.493.350.597,771.384.513.583,659493350597.0,771384513583.0,659493350597.0,771384513583.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,9.553.711.467.881,10.484.587.493.602,9.553.711.467.881,10.484.587.493.602,9553711467881.0,10484587493602.0,9553711467881.0,10484587493602.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,12.422.785.611.019,12.540.358.565.752,12.422.785.611.019,12.540.358.565.752,12422785611019.0,12540358565752.0,12422785611019.0,12540358565752.0
