row_label_raw,row_label_full,CHỈ TIỀU,Mã số TM,2019,2018,numeric__Mã số TM,numeric__2019,numeric__2018
LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD,,,
Lợi nhuận trước thuế,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG SXKD > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,585.912.885.300,546.664.674.270,1.0,585912885300.0,546664674270.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,
Khấu hao TSCĐ và BĐSDĐT,Điều chỉnh cho các khoản > Khấu hao TSCĐ và BĐSDĐT,Khấu hao TSCĐ và BĐSDĐT,02,1.512.434.938.018,1.351.430.218.149,2.0,1512434938018.0,1351430218149.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,(3.702.200.037),279.762.107.903,3.0,-3702200037.0,279762107903.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Điều chỉnh cho các khoản > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,161.237.718.485,190.156.481.939,4.0,161237718485.0,190156481939.0
Lãi lỗ từ hoạt động đầu tư,Điều chỉnh cho các khoản > Lãi lỗ từ hoạt động đầu tư,Lãi lỗ từ hoạt động đầu tư,05,(38.457.895.810),(25.514.466.112),5.0,-38457895810.0,-25514466112.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,311.599.280.185,357.134.811.466,6.0,311599280185.0,357134811466.0
Các khoản điều chỉnh khác,Điều chỉnh cho các khoản > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,-,-,7.0,,
Lợi nhuận kinh doanh trước những thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận kinh doanh trước những thay đổi vốn lưu động,08,2.529.024.726.141,2.699.633.827.615,8.0,2529024726141.0,2699633827615.0
"Tăng, Giảm các khoản phải thu","Điều chỉnh cho các khoản > Tăng, Giảm các khoản phải thu","Tăng, Giảm các khoản phải thu",09,(622.925.236.464),266.353.419.945,9.0,-622925236464.0,266353419945.0
"Tăng, Giảm hàng tồn kho","Điều chỉnh cho các khoản > Tăng, Giảm hàng tồn kho","Tăng, Giảm hàng tồn kho",10,(12.306.040.465),(21.498.622.503),10.0,-12306040465.0,-21498622503.0
"Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)","Điều chỉnh cho các khoản > Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)","Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)",11,735.967.686.082,(876.199.820.680),11.0,735967686082.0,-876199820680.0
"Tăng, Giảm chi phí trả trước","Điều chỉnh cho các khoản > Tăng, Giảm chi phí trả trước","Tăng, Giảm chi phí trả trước",12,148.234.906.427,168.853.722.835,12.0,148234906427.0,168853722835.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(536.091.902.231),(343.155.295.167),14.0,-536091902231.0,-343155295167.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(69.871.256.632),(5.760.391.668),15.0,-69871256632.0,-5760391668.0
Tiền thu khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,14.786.692.382,11.037.193.901,16.0,14786692382.0,11037193901.0
Tiền chi khác cho hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(37.455.639.989),(24.881.131.224),17.0,-37455639989.0,-24881131224.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,2.149.363.935.251,1.874.382.903.054,20.0,2149363935251.0,1874382903054.0
LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác","LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác","Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác",21,(77.330.418.144),(69.477.640.230),21.0,-77330418144.0,-69477640230.0
