row_label_raw,row_label_full,Ho và tên:,Ho và tên:_1,Chức vụ:,Chức vụ:_1,numeric__Ho và tên:_1,numeric__Chức vụ:,numeric__Chức vụ:_1
-,-,-,Ông Ngô Trí Thịnh,Tổng Giám đốc,Tổng Giám đốc,,,
-,-,-,Ông Nguyễn Văn Hải,Phó Tổng Giám đốc,Phó Tổng Giám đốc,,,
-,-,-,Ông Hoàng Phó Hiềng,Phó Tổng Giám đốc,Phó Tổng Giám đốc,,,
-,-,-,Ông Bùi Minh Tân,Phó Tổng Giám đốc,Phó Tổng Giám đốc,,,
-,-,-,Ông Phạm Xuân Phong,Phó Tổng Giám đốc,Phó Tổng Giám đốc,,,
-,-,-,Ông Nguyễn Trung Thực,Phó Tổng Giám đốc (từ ngày 26/3/2019),(i),,,
