row_label_raw,row_label_full,CHỈ TIÊU,Mã số,TM,2019,2018,numeric__Mã số,numeric__TM,numeric__2019,numeric__2018
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,11.060.251.968.061,8.028.360.506.827,1.0,61.0,11060251968061.0,8028360506827.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,10,,11.060.251.968.061,8.028.360.506.827,10.0,,11060251968061.0,8028360506827.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,6.2,9.735.009.884.627,6.308.909.736.655,11.0,62.0,9735009884627.0,6308909736655.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.325.242.083.434,1.719.450.770.172,20.0,,1325242083434.0,1719450770172.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,6.3,54.736.370.860,25.610.145.009,21.0,63.0,54736370860.0,25610145009.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,6.4,565.494.684.420,1.039.687.148.146,22.0,64.0,565494684420.0,1039687148146.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,311.599.280.185,357.134.811.466,23.0,,311599280185.0,357134811466.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,6.7,-,-,25.0,67.0,,
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,6.7,229.372.709.049,167.104.286.406,26.0,67.0,229372709049.0,167104286406.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,585.111.060.825,538.269.480.629,30.0,,585111060825.0,538269480629.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,6.5,4.531.209.429,12.544.757.541,31.0,65.0,4531209429.0,12544757541.0
Chi phí khác,Chi phí khác,Chi phí khác,32,6.6,3.729.384.954,4.149.563.900,32.0,66.0,3729384954.0,4149563900.0
Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),40,,801.824.475,8.395.193.641,40.0,,801824475.0,8395193641.0
Tổng lợi nhuận kế toán trước thuế (50=30+40),Tổng lợi nhuận kế toán trước thuế (50=30+40),Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,585.912.885.300,546.664.674.270,50.0,,585912885300.0,546664674270.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,6.9,144.308.635.301,45.058.759.743,51.0,69.0,144308635301.0,45058759743.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,,(109.994.000.583),-,52.0,,-109994000583.0,
Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),60,,551.598.250.582,501.605.914.527,60.0,,551598250582.0,501605914527.0
