row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, trangthiết bịVND","Phương tiện vậntài, truyền dẫnVND","Thiết bị, dụng cụquản lýVND",TSCĐ hữuhình khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, trangthiết bịVND","numeric__Phương tiện vậntài, truyền dẫnVND","numeric__Thiết bị, dụng cụquản lýVND",numeric__TSCĐ hữuhình khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.746.990.328.531,14.631.961.314.404,249.233.507.288,52.619.841.618,253.558.297.781,21.934.363.289.622,6746990328531.0,14631961314404.0,249233507288.0,52619841618.0,253558297781.0,21934363289622.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,20.927.695.560,-,742.651.818,-,21.670.347.378,,20927695560.0,,742651818.0,,21670347378.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,42.971.137.682,17.646.015.743,-,-,667.258.183,61.284.411.608,42971137682.0,17646015743.0,,,667258183.0,61284411608.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,-,-,,,,,,
- Điều chỉnh theo QTDAHT,- Tăng khác > - Điều chỉnh theo QTDAHT,- Điều chỉnh theo QTDAHT,(1.979.443.045),1.979.443.045,-,-,-,-,-1979443045.0,1979443045.0,,,,
- Giảm khác,- Tăng khác > - Giảm khác,- Giảm khác,-,(6.247.551.971),-,-,-,(6.247.551.971),,-6247551971.0,,,,-6247551971.0
Số dư cuối năm,- Tăng khác > Số dư cuối năm,Số dư cuối năm,6.787.982.023.168,14.666.266.916.781,249.233.507.288,53.362.493.436,254.225.555.964,22.011.070.496.637,6787982023168.0,14666266916781.0,249233507288.0,53362493436.0,254225555964.0,22011070496637.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,1.858.577.992.063,7.990.598.959.672,203.060.228.573,49.032.286.905,197.226.725.172,10.298.496.192.385,1858577992063.0,7990598959672.0,203060228573.0,49032286905.0,197226725172.0,10298496192385.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,360.995.630.612,1.092.041.862.253,15.576.164.395,1.791.328.078,39.017.949.156,1.509.422.934.494,360995630612.0,1092041862253.0,15576164395.0,1791328078.0,39017949156.0,1509422934494.0
- Hao mòn trong năm,GIÁ TRỊ HAO MÒN > - Hao mòn trong năm,- Hao mòn trong năm,657.573.176,-,-,-,-,657.573.176,657573176.0,,,,,657573176.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,-,-,,,,,,
- Điều chỉnh theo QTDAHT,- Tăng khác > - Điều chỉnh theo QTDAHT,- Điều chỉnh theo QTDAHT,421.947.882,(421.947.882),-,-,-,-,421947882.0,-421947882.0,,,,
- Giảm khác,- Tăng khác > - Giảm khác,- Giảm khác,-,(4.506.089.776),-,-,-,(4.506.089.776),,-4506089776.0,,,,-4506089776.0
Số dư cuối năm,- Tăng khác > Số dư cuối năm,Số dư cuối năm,2.220.653.143.733,9.077.712.784.267,218.636.392.968,50.823.614.983,236.244.674.328,11.804.070.610.279,2220653143733.0,9077712784267.0,218636392968.0,50823614983.0,236244674328.0,11804070610279.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,4.888.412.336.468,6.641.362.354.732,46.173.278.715,3.587.554.713,56.331.572.609,11.635.867.097.237,4888412336468.0,6641362354732.0,46173278715.0,3587554713.0,56331572609.0,11635867097237.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,4.567.328.879.435,5.588.554.132.514,30.597.114.320,2.538.878.453,17.980.881.636,10.206.999.886.358,4567328879435.0,5588554132514.0,30597114320.0,2538878453.0,17980881636.0,10206999886358.0
Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,GIÁ TRỊ CÒN LẠI > Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,222.576.024.477,,,,,,222576024477.0
Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vẫn còn sử dụng:,2.241.463.353.082,,,,,,2241463353082.0
Nguyên giá TSCĐ cuối năm chờ thanh lý:,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,9.158.441.561,,,,,,9158441561.0
