row_label_raw,row_label_full,col_0,31/12/2019(VND) > Giá gốc,31/12/2019(VND) > Giá trị hợp lý,31/12/2019(VND) > Dự phòng,01/01/2019(VND) > Giá gốc,01/01/2019(VND) > Giá trị hợp lý,01/01/2019(VND) > Dự phòng,numeric__31/12/2019(VND) > Giá gốc,numeric__31/12/2019(VND) > Giá trị hợp lý,numeric__31/12/2019(VND) > Dự phòng,numeric__01/01/2019(VND) > Giá gốc,numeric__01/01/2019(VND) > Giá trị hợp lý,numeric__01/01/2019(VND) > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,10.000.000.000,10.000.000.000,-,-,-,-,10000000000.0,10000000000.0,,,,
Dài hạn,Dài hạn,Dài hạn,3.108.245.507.085,2.151.137.113.804,-,3.108.245.507.085,2.147.490.644.767,(960.754.862.318),3108245507085.0,2151137113804.0,,3108245507085.0,2147490644767.0,-960754862318.0
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,1.883.306.772.926,926.198.379.645,(957.108.393.281),1.883.306.772.926,923.993.910.608,(959.312.862.318),1883306772926.0,926198379645.0,-957108393281.0,1883306772926.0,923993910608.0,-959312862318.0
- Công ty Cổ phần Nhiệt điện Cẩm Phả - TKV,- Công ty Cổ phần Nhiệt điện Cẩm Phả - TKV,- Công ty Cổ phần Nhiệt điện Cẩm Phả - TKV,1.757.179.069.334,800.070.676.053,(957.108.393.281),1.757.179.069.334,797.866.207.016,(959.312.862.318),1757179069334.0,800070676053.0,-957108393281.0,1757179069334.0,797866207016.0,-959312862318.0
- Công ty Cổ phần Than - Điện Nông Sơn - TKV,- Công ty Cổ phần Than - Điện Nông Sơn - TKV,- Công ty Cổ phần Than - Điện Nông Sơn - TKV,126.127.703.592,126.127.703.592,-,126.127.703.592,126.127.703.592,-,126127703592.0,126127703592.0,,126127703592.0,126127703592.0,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,1.224.938.734.159,1.224.938.734.159,-,1.224.938.734.159,1.223.496.734.159,(1.442.000.000),1224938734159.0,1224938734159.0,,1224938734159.0,1223496734159.0,-1442000000.0
- Công ty TNHH Điện lực Vĩnh Tân,- Công ty TNHH Điện lực Vĩnh Tân,- Công ty TNHH Điện lực Vĩnh Tân,386.597.424.159,386.597.424.159,-,386.597.424.159,386.597.424.159,-,386597424159.0,386597424159.0,,386597424159.0,386597424159.0,
- Công ty Cổ phần Nhiệt điện Hải Phòng,- Công ty Cổ phần Nhiệt điện Hải Phòng,- Công ty Cổ phần Nhiệt điện Hải Phòng,360.500.000.000,360.500.000.000,-,360.500.000.000,359.058.000.000,(1.442.000.000),360500000000.0,360500000000.0,,360500000000.0,359058000000.0,-1442000000.0
- Công ty Cổ phần Nhiệt điện Quảng Ninh,- Công ty Cổ phần Nhiệt điện Quảng Ninh,- Công ty Cổ phần Nhiệt điện Quảng Ninh,477.841.310.000,477.841.310.000,-,477.841.310.000,477.841.310.000,-,477841310000.0,477841310000.0,,477841310000.0,477841310000.0,
Cộng,Cộng,Cộng,3.118.245.507.085,2.161.137.113.804,(957.108.393.281),3.108.245.507.085,2.147.490.644.767,(960.754.862.318),3118245507085.0,2161137113804.0,-957108393281.0,3108245507085.0,2147490644767.0,-960754862318.0
