row_label_raw,row_label_full,col_0,Doanh thu bán hàng VND,Doanh thu cung cấp dịch vụ VND,Tổng cộng VND,numeric__Doanh thu bán hàng VND,numeric__Doanh thu cung cấp dịch vụ VND,numeric__Tổng cộng VND
Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,,,
Doanh thu,Năm 2018 > Doanh thu,Doanh thu,8.010.030.119.703,18.330.387.124,8.028.360.506.827,8010030119703.0,18330387124.0,8028360506827.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,6.292.368.889.023,16.540.847.632,6.308.909.736.655,6292368889023.0,16540847632.0,6308909736655.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,1.717.661.230.680,1.789.539.492,1.719.450.770.172,1717661230680.0,1789539492.0,1719450770172.0
Năm 2019,Năm 2019,Năm 2019,Năm 2019,Năm 2019,Năm 2019,,,
Doanh thu,Năm 2019 > Doanh thu,Doanh thu,10.912.297.543.423,147.954.424.638,11.060.251.968.061,10912297543423.0,147954424638.0,11060251968061.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,,,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,9.588.802.691.790,146.207.192.837,9.735.009.884.627,9588802691790.0,146207192837.0,9735009884627.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,1.323.494.851.633,1.747.231.801,1.325.242.083.434,1323494851633.0,1747231801.0,1325242083434.0
