row_label_raw,row_label_full,col_0,31/12/2019(VND) > Giá trị,31/12/2019(VND) > Số có khả năng trả nợ,01/01/2019(VND) > Giá trị,01/01/2019(VND) > Số có khả năng trả nợ,numeric__31/12/2019(VND) > Giá trị,numeric__31/12/2019(VND) > Số có khả năng trả nợ,numeric__01/01/2019(VND) > Giá trị,numeric__01/01/2019(VND) > Số có khả năng trả nợ
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,1.810.033.597.640,1.810.033.597.640,884.581.369.352,884.581.369.352,1810033597640.0,1810033597640.0,884581369352.0,884581369352.0
Công ty Kho vận và cảng Cẩm Phả - Vinacomin,Công ty Kho vận và cảng Cẩm Phả - Vinacomin,Công ty Kho vận và cảng Cẩm Phả - Vinacomin,862.913.002.193,862.913.002.193,35.723.904.867,35.723.904.867,862913002193.0,862913002193.0,35723904867.0,35723904867.0
Tổng công ty Đông Bắc,Tổng công ty Đông Bắc,Tổng công ty Đông Bắc,205.212.032.223,205.212.032.223,100.868.023.672,100.868.023.672,205212032223.0,205212032223.0,100868023672.0,100868023672.0
Công ty Kho Vận Đá Bạc - Vinacomin,Công ty Kho Vận Đá Bạc - Vinacomin,Công ty Kho Vận Đá Bạc - Vinacomin,724.550.015,724.550.015,51.232.927.877,51.232.927.877,724550015.0,724550015.0,51232927877.0,51232927877.0
Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,433.320.772.952,433.320.772.952,451.193.407.652,451.193.407.652,433320772952.0,433320772952.0,451193407652.0,451193407652.0
LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,10.525.823.121,10.525.823.121,10.532.619.821,10.532.619.821,10525823121.0,10525823121.0,10532619821.0,10532619821.0
Công ty TNHH thương mại và thiết bị điện máy Tân Dương,Công ty TNHH thương mại và thiết bị điện máy Tân Dương,Công ty TNHH thương mại và thiết bị điện máy Tân Dương,68.340.024.355,68.340.024.355,11.343.985.106,11.343.985.106,68340024355.0,68340024355.0,11343985106.0,11343985106.0
Phải trả các đối tượng khác,Phải trả các đối tượng khác,Phải trả các đối tượng khác,228.997.392.781,228.997.392.781,223.686.500.357,223.686.500.357,228997392781.0,228997392781.0,223686500357.0,223686500357.0
Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,399.547.194.901,399.547.194.901,399.805.189.215,399.805.189.215,399547194901.0,399547194901.0,399805189215.0,399805189215.0
Nhà thầu SFECO,Nhà thầu SFECO,Nhà thầu SFECO,399.547.194.901,399.547.194.901,399.805.189.215,399.805.189.215,399547194901.0,399547194901.0,399805189215.0,399805189215.0
Cộng,Cộng,Cộng,2.209.580.792.541,2.209.580.792.541,1.284.386.558.567,1.284.386.558.567,2209580792541.0,2209580792541.0,1284386558567.0,1284386558567.0
