row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016 > Dưới 1 tháng,Tại ngày 31 tháng 12 năm 2016 > Từ 1 đến 3 tháng,Tại ngày 31 tháng 12 năm 2016 > Từ trên 3 đến 6 tháng,Tại ngày 31 tháng 12 năm 2016 > Từ trên 6 đến 12 tháng,Tại ngày 31 tháng 12 năm 2016 > Từ trên 1 đến 5 năm,Tại ngày 31 tháng 12 năm 2016 > Trên 5 năm,numeric__Tại ngày 31 tháng 12 năm 2016 > Dưới 1 tháng,numeric__Tại ngày 31 tháng 12 năm 2016 > Từ 1 đến 3 tháng,numeric__Tại ngày 31 tháng 12 năm 2016 > Từ trên 3 đến 6 tháng,numeric__Tại ngày 31 tháng 12 năm 2016 > Từ trên 6 đến 12 tháng,numeric__Tại ngày 31 tháng 12 năm 2016 > Từ trên 1 đến 5 năm,numeric__Tại ngày 31 tháng 12 năm 2016 > Trên 5 năm
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,,,,,,
▪ VND,▪ VND,▪ VND,(*),(*),(*),"7,20% - 8,10%",(*),(*),,,,,,
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,,,,,
▪ VND,▪ VND,▪ VND,"0,00% - 5,88%","4,30% - 4,60%",(*),(*),(*),(*),,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 0,95%","1,45% - 1,80%","1,65% - 2,30%",(*),(*),(*),,,,,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,
▪ VND,Tiền gửi của khách hàng > ▪ VND,▪ VND,"0,00% - 7,00%","0,00% - 6,20%","0,00% - 6,84%","0,00% - 8,50%","0,00% - 8,50%","7,08%",,,,,,0.0708
▪ Ngoại tệ,Tiền gửi của khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 0,03%","0,00%","0,00%","0,00%","0,00% - 1,25%",(*),,0.0,0.0,0.0,,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,,,,,
▪ VND,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > ▪ VND",▪ VND,(*),"4,92%",(*),(*),(*),(*),,0.0492,,,,
▪ Ngoại tệ,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > ▪ Ngoại tệ",▪ Ngoại tệ,(*),(*),(*),(*),(*),"1,91%",,,,,,0.0191
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,,,,
▪ VND,Phát hành giấy tờ có giá > ▪ VND,▪ VND,(*),(*),(*),"8,00% - 9,00%",(*),"13,25%",,,,,,0.1325
