row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016_1,Ngày 31 tháng 12 năm 2016_2,numeric__Ngày 31 tháng 12 năm 2016,numeric__Ngày 31 tháng 12 năm 2016_1,numeric__Ngày 31 tháng 12 năm 2016_2
,,,Bảng VNDTriệu VND,Bảng ngoại tệTriệu VND,Tổng (*)Triệu VND,,,
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,60.862,-,60.862,60862.0,,60862.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,5.124.990,10.085.587,15.210.577,5124990.0,10085587.0,15210577.0
Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,-,2.744.367,2.744.367,,2744367.0,2744367.0
Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,1.293,1.698.185,1.699.478,1293.0,1698185.0,1699478.0
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,1.367.482,103.730,1.471.212,1367482.0,103730.0,1471212.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,1.549.323,19.149,1.568.472,1549323.0,19149.0,1568472.0
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,258.175,162,258.337,258175.0,162.0,258337.0
Các bảo lãnh khác,Các bảo lãnh khác,Các bảo lãnh khác,2.094.956,159.750,2.254.706,2094956.0,159750.0,2254706.0
,,,10.457.081,14.810.930,25.268.011,10457081.0,14810930.0,25268011.0
,,,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2015,,,
,,,Bảng VNDTriệu VND,Bảng ngoại tệTriệu VND,Tổng (*)Triệu VND,,,
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,51.670,-,51.670,51670.0,,51670.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,2.574.780,7.613.180,10.187.960,2574780.0,7613180.0,10187960.0
Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,-,1.955.787,1.955.787,,1955787.0,1955787.0
Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,-,1.901.701,1.901.701,,1901701.0,1901701.0
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,1.264.090,128.788,1.392.878,1264090.0,128788.0,1392878.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,1.140.276,15.781,1.156.057,1140276.0,15781.0,1156057.0
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,254.002,-,254.002,254002.0,,254002.0
Các bảo lãnh khác,Các bảo lãnh khác,Các bảo lãnh khác,1.818.681,66.702,1.885.383,1818681.0,66702.0,1885383.0
,,,7.103.499,11.681.939,18.785.438,7103499.0,11681939.0,18785438.0
