row_label_raw,row_label_full,col_0,Trên 3 thángTriệu VND,Đến 3 thángTriệu VND,Đến 1 thángTriệu VND,Từ trên 1đến 3 thángTriệu VND,Từ trên 3đến 12 thángTriệu VND,Từ trên 1đến 5 nămTriệu VND,Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Trên 3 thángTriệu VND,numeric__Đến 3 thángTriệu VND,numeric__Đến 1 thángTriệu VND,numeric__Từ trên 1đến 3 thángTriệu VND,numeric__Từ trên 3đến 12 thángTriệu VND,numeric__Từ trên 1đến 5 nămTriệu VND,numeric__Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sán,Tài sán,Tài sán,Tài sán,Tài sán,Tài sán,Tài sán,Tài sán,Tài sán,Tài sán,Tài sán,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sán > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,2.806.088,-,-,-,-,2.806.088,,,2806088.0,,,,,2806088.0
Tiền gửi tại NHNNVN,Tài sán > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,4.608.680,-,-,-,-,4.608.680,,,4608680.0,,,,,4608680.0
Tiền gửi và cho vay các TCTD khác – gộp,Tài sán > Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,24.078,-,5.646.641,2.945.070,1.306.552,400.000,-,10.322.341,24078.0,,5646641.0,2945070.0,1306552.0,400000.0,,10322341.0
Chứng khoán kinh doanh – gộp,Tài sán > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,103.034,-,-,-,-,103.034,,,103034.0,,,,,103034.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sán > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,-,47.603,-,-,-,-,47.603,,,47603.0,,,,,47603.0
Cho vay khách hàng – gộp,Tài sán > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,1.570.260,2.229.373,7.470.655,12.954.694,43.157.856,26.080.021,41.885.412,135.348.271,1570260.0,2229373.0,7470655.0,12954694.0,43157856.0,26080021.0,41885412.0,135348271.0
Chứng khoán đầu tư – gộp,Tài sán > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,303.345,587.500,1.387.207,3.424.245,3.201.576,26.163.286,5.695.598,40.762.757,303345.0,587500.0,1387207.0,3424245.0,3201576.0,26163286.0,5695598.0,40762757.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sán > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,218.797,218.797,,,,,,,218797.0,218797.0
Tài sản cố định,Tài sán > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,2.479.567,2.479.567,,,,,,,2479567.0,2479567.0
Bất động sản đầu tư,Tài sán > Bất động sản đầu tư,Bất động sản đầu tư,-,-,-,-,-,-,61.921,61.921,,,,,,,61921.0,61921.0
Tài sản Có khác – gộp,Tài sán > Tài sản Có khác – gộp,Tài sản Có khác – gộp,190.198,1.166.857,7.741.889,-,-,-,-,9.098.944,190198.0,1166857.0,7741889.0,,,,,9098944.0
,,,2.087.881,3.983.730,29.811.797,19.324.009,47.665.984,52.643.307,50.341.295,205.858.003,2087881.0,3983730.0,29811797.0,19324009.0,47665984.0,52643307.0,50341295.0,205858003.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,3.999.345,1.179.636,-,-,-,5.178.981,,,3999345.0,1179636.0,,,,5178981.0
Tiền gửi và vay các tổ chức tin dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tin dụng khác,Tiền gửi và vay các tổ chức tin dụng khác,-,-,1.543.276,758.614,12.919,103.118,15.403,2.433.330,,,1543276.0,758614.0,12919.0,103118.0,15403.0,2433330.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,55.849.236,28.309.384,58.153.430,32.588.623,18.324,174.918.997,,,55849236.0,28309384.0,58153430.0,32588623.0,18324.0,174918997.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,15.400,42.872,75.127,28.279,161.678,,,,15400.0,42872.0,75127.0,28279.0,161678.0
Phát hành giấy tờ có giả,Nợ phải trả > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,-,-,75.000,3.000.000,-,3.075.000,,,,,75000.0,3000000.0,,3075000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.901.457,-,-,-,-,2.901.457,,,2901457.0,,,,,2901457.0
,,,-,-,64.293.314,30.263.034,58.284.221,35.766.868,62.006,188.669.443,,,64293314.0,30263034.0,58284221.0,35766868.0,62006.0,188669443.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,2.087.881,3.983.730,(34.481.517),(10.939.025),(10.618.237),16.876.439,50.279.289,17.188.560,2087881.0,3983730.0,-34481517.0,-10939025.0,-10618237.0,16876439.0,50279289.0,17188560.0
