row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2016,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,TổngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,239.367,357.928,597.295,239367.0,357928.0,597295.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,44.322,44.322,,44322.0,44322.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,55.349,25.894,81.243,55349.0,25894.0,81243.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(39),(39),,-39.0,-39.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,294.716,428.105,722.821,294716.0,428105.0,722821.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,171.986,171.986,,171986.0,171986.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,39.038,39.038,,39038.0,39038.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(39),(39),,-39.0,-39.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,210.985,210.985,,210985.0,210985.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,239.367,185.942,425.309,239367.0,185942.0,425309.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,294.716,217.120,511.836,294716.0,217120.0,511836.0
