row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2016 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2016 > Dưới 1thángTriệu VND,Tại ngày 31 tháng 12 năm 2016 > Từ 1đến 3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2016 > Từ trên 3đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2016 > Từ trên 6đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2016 > Từ trên 1đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2016 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2016 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2016 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2016 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2016 > Dưới 1thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2016 > Từ 1đến 3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2016 > Từ trên 3đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2016 > Từ trên 6đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2016 > Từ trên 1đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2016 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2016 > TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,3.541.388,-,-,-,-,-,-,3.541.388,,3541388.0,,,,,,,3541388.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,5.119.306,-,-,-,-,-,-,5.119.306,,5119306.0,,,,,,,5119306.0
Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,525.000,-,5.015.489,1.843.973,939.445,-,-,-,8.323.907,525000.0,,5015489.0,1843973.0,939445.0,,,,8323907.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,490.737,-,-,-,-,720.577,-,1.211.314,,490737.0,,,,,720577.0,,1211314.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,16.065,-,-,-,-,-,-,16.065,,16065.0,,,,,,,16065.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,3.194.158,2.000,1.541.470,146.503.711,7.233.372,4.112.860,737.021,76.629,163.401.221,3194158.0,2000.0,1541470.0,146503711.0,7233372.0,4112860.0,737021.0,76629.0,163401221.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,2.361.723,-,-,529.984,-,33.995.090,8.899.975,45.786.772,,2361723.0,,,529984.0,,33995090.0,8899975.0,45786772.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,201.163,-,-,-,-,-,-,201.163,,201163.0,,,,,,,201163.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,2.850.558,-,-,-,-,-,-,2.850.558,,2850558.0,,,,,,,2850558.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,211.872,-,-,-,-,-,-,211.872,,211872.0,,,,,,,211872.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,1.091.661,5.713.286,-,-,-,1.723.489,-,-,8.528.436,1091661.0,5713286.0,,,,1723489.0,,,8528436.0
,,,4.810.819,20.508.098,6.556.959,148.347.684,8.702.801,5.836.349,35.452.688,8.976.604,239.192.002,4810819.0,20508098.0,6556959.0,148347684.0,8702801.0,5836349.0,35452688.0,8976604.0,239192002.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,-,1.386.822,471.590,376.703,-,-,-,2.235.115,,,1386822.0,471590.0,376703.0,,,,2235115.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,65.584,39.169.059,81.789.358,31.305.210,25.280.358,29.441.660,40,207.051.269,,65584.0,39169059.0,81789358.0,31305210.0,25280358.0,29441660.0,40.0,207051269.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,91.953,-,-,-,30.744,122.697,,,,91953.0,,,,30744.0,122697.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,3.615.000,-,3.000.000,6.615.000,,,,,,3615000.0,,3000000.0,6615000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.594.080,-,-,-,-,-,-,3.594.080,,3594080.0,,,,,,,3594080.0
