row_label_raw,row_label_full,Số dư cuối năm,31/12/2016Triệu VND,31/12/2015Triệu VND,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VND
Tiền gửi từ công ty liên doanh và liên kết,Tiền gửi từ công ty liên doanh và liên kết,Tiền gửi từ công ty liên doanh và liên kết,16.651,15.432,16651.0,15432.0
Tiền gửi từ các bên liên quan khác (*),Tiền gửi từ các bên liên quan khác (*),Tiền gửi từ các bên liên quan khác (*),351.001,346.428,351001.0,346428.0
Cho các bên liên quan khác vay (*),Cho các bên liên quan khác vay (*),Cho các bên liên quan khác vay (*),19.932,416.227,19932.0,416227.0
Đầu tư vào trái phiếu phát hành bởi bên liên quan khác (*),Đầu tư vào trái phiếu phát hành bởi bên liên quan khác (*),Đầu tư vào trái phiếu phát hành bởi bên liên quan khác (*),-,1.000.000,,1000000.0
Tạm ứng và khoản phải thu từ các bên liên quan khác (*),Tạm ứng và khoản phải thu từ các bên liên quan khác (*),Tạm ứng và khoản phải thu từ các bên liên quan khác (*),-,156.091,,156091.0
Lãi dự thu từ các khoản cho vay các bên liên quan khác (*),Lãi dự thu từ các khoản cho vay các bên liên quan khác (*),Lãi dự thu từ các khoản cho vay các bên liên quan khác (*),491,14.854,491.0,14854.0
Lãi dự thu từ trái phiếu phát hành bởi một bên liên quan khác (*),Lãi dự thu từ trái phiếu phát hành bởi một bên liên quan khác (*),Lãi dự thu từ trái phiếu phát hành bởi một bên liên quan khác (*),-,141.152,,141152.0
Lãi dự chi cho tiền gửi từ công ty liên doanh và liên kết,Lãi dự chi cho tiền gửi từ công ty liên doanh và liên kết,Lãi dự chi cho tiền gửi từ công ty liên doanh và liên kết,59,50,59.0,50.0
Lãi dự chi cho tiền gửi từ các bên liên quan khác (*),Lãi dự chi cho tiền gửi từ các bên liên quan khác (*),Lãi dự chi cho tiền gửi từ các bên liên quan khác (*),2.677,2.868,2677.0,2868.0
Tiền nhận ủy thác đầu tư từ các bên liên quan khác (*),Tiền nhận ủy thác đầu tư từ các bên liên quan khác (*),Tiền nhận ủy thác đầu tư từ các bên liên quan khác (*),9.500,9.500,9500.0,9500.0
Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,2016Triệu VND,2015Triệu VND,,
Chi phí lãi trả cho tiền gửi của công ty liên doanh và liên kết,Giao dịch phát sinh trong năm > Chi phí lãi trả cho tiền gửi của công ty liên doanh và liên kết,Chi phí lãi trả cho tiền gửi của công ty liên doanh và liên kết,681,654,681.0,654.0
Chi phí lãi trả cho tiền gửi của các bên liên quan khác (*),Giao dịch phát sinh trong năm > Chi phí lãi trả cho tiền gửi của các bên liên quan khác (*),Chi phí lãi trả cho tiền gửi của các bên liên quan khác (*),16.683,22.277,16683.0,22277.0
Thu nhập lãi từ cho vay các bên liên quan khác (*),Giao dịch phát sinh trong năm > Thu nhập lãi từ cho vay các bên liên quan khác (*),Thu nhập lãi từ cho vay các bên liên quan khác (*),12.386,33.188,12386.0,33188.0
Thu nhập cố tức từ các bên liên quan khác (*),Giao dịch phát sinh trong năm > Thu nhập cố tức từ các bên liên quan khác (*),Thu nhập cố tức từ các bên liên quan khác (*),22.800,19.955,22800.0,19955.0
Phí thanh toán cho công ty liên kết,Giao dịch phát sinh trong năm > Phí thanh toán cho công ty liên kết,Phí thanh toán cho công ty liên kết,166.656,140.094,166656.0,140094.0
Thu nhập của Ban Tổng Giám đốc,Giao dịch phát sinh trong năm > Thu nhập của Ban Tổng Giám đốc,Thu nhập của Ban Tổng Giám đốc,19.708,17.940,19708.0,17940.0
Thù lao trả cho các thành viên Hội đồng Quản trị,Giao dịch phát sinh trong năm > Thù lao trả cho các thành viên Hội đồng Quản trị,Thù lao trả cho các thành viên Hội đồng Quản trị,7.078,5.995,7078.0,5995.0
Thù lao trả cho Ban Kiểm soát,Giao dịch phát sinh trong năm > Thù lao trả cho Ban Kiểm soát,Thù lao trả cho Ban Kiểm soát,3.466,3.113,3466.0,3113.0
