row_label_raw,row_label_full,Năm 2016 > Thuế giá trị gia tăng,Số dưđầu nămTriệu VND > 6.072,Phát sinh trong năm > Số phải nộpTriệu VND > 114.989,Phát sinh trong năm > Số đã nộpTriệu VND > (109.266),Số dưcuối nămTriệu VND > 11.795,numeric__Số dưđầu nămTriệu VND > 6.072,numeric__Phát sinh trong năm > Số phải nộpTriệu VND > 114.989,numeric__Phát sinh trong năm > Số đã nộpTriệu VND > (109.266),numeric__Số dưcuối nămTriệu VND > 11.795
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,25.799,338.590,(360.194),4.195,25799.0,338590.0,-360194.0,4195.0
Thuế nhà – đất,Thuế nhà – đất,Thuế nhà – đất,1,6,(7),-,1.0,6.0,-7.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,6.027,114.849,(100.676),20.200,6027.0,114849.0,-100676.0,20200.0
,,,37.899,568.434,(570.143),36.190,37899.0,568434.0,-570143.0,36190.0
Năm 2015,Năm 2015,Năm 2015,Số dưđầu nămTriệu VND,Phát sinh trong năm,Phát sinh trong năm,Số dưcuối nămTriệu VND,,,,
Năm 2015,Năm 2015,Năm 2015,Số dưđầu nămTriệu VND,Số phải nộpTriệu VND,Số đã nộpTriệu VND,Số dưcuối nămTriệu VND,,,,
Thuế giá trị gia tăng,Năm 2015 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,6.167,78.319,(78.414),6.072,6167.0,78319.0,-78414.0,6072.0
Thuế thu nhập doanh nghiệp,Năm 2015 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,30.133,283.828,(288.162),25.799,30133.0,283828.0,-288162.0,25799.0
Thuế nhà – đất,Năm 2015 > Thuế nhà – đất,Thuế nhà – đất,1,51,(51),1,1.0,51.0,-51.0,1.0
Các loại thuế khác,Năm 2015 > Các loại thuế khác,Các loại thuế khác,7.098,100.709,(101.780),6.027,7098.0,100709.0,-101780.0,6027.0
,,,43.399,462.907,(468.407),37.899,43399.0,462907.0,-468407.0,37899.0
