row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2016,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.909.382,888.360,252.689,168.708,3.219.139,1909382.0,888360.0,252689.0,168708.0,3219139.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,289,201.032,16.106,6.341,223.768,289.0,201032.0,16106.0,6341.0,223768.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,235.517,1.280,30.484,4.858,272.139,235517.0,1280.0,30484.0,4858.0,272139.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(22.178),(7.513),(2.941),(32.632),,-22178.0,-7513.0,-2941.0,-32632.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,74,(801),72,613,(42),74.0,-801.0,72.0,613.0,-42.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.145.262,1.067.693,291.838,177.579,3.682.372,2145262.0,1067693.0,291838.0,177579.0,3682372.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,268.276,627.882,160.183,108.540,1.164.881,268276.0,627882.0,160183.0,108540.0,1164881.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,50.438,115.067,20.936,23.966,210.407,50438.0,115067.0,20936.0,23966.0,210407.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(21.588),(7.134),(2.896),(31.618),,-21588.0,-7134.0,-2896.0,-31618.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,-,-,(20),(20),,,,-20.0,-20.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,318.714,721.361,173.985,129.590,1.343.650,318714.0,721361.0,173985.0,129590.0,1343650.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.641.106,260.478,92.506,60.168,2.054.258,1641106.0,260478.0,92506.0,60168.0,2054258.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.826.548,346.332,117.853,47.989,2.338.722,1826548.0,346332.0,117853.0,47989.0,2338722.0
