row_label_raw,row_label_full,col_0,31/12/2016Triệu VND,31/12/2015Triệu VNDĐã phân loại lại,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VNDĐã phân loại lại
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,,
▪ Chi phí xây dựng cơ bản dở dang (i),Các khoản phải thu > ▪ Chi phí xây dựng cơ bản dở dang (i),▪ Chi phí xây dựng cơ bản dở dang (i),521.862,642.523,521862.0,642523.0
▪ Phải thu từ khách hàng (ii),Các khoản phải thu > ▪ Phải thu từ khách hàng (ii),▪ Phải thu từ khách hàng (ii),3.893.849,4.750.535,3893849.0,4750535.0
▪ Phải thu từ NHNNVN,Các khoản phải thu > ▪ Phải thu từ NHNNVN,▪ Phải thu từ NHNNVN,7.107,7.107,7107.0,7107.0
▪ Các khoản tạm ứng và phải thu nội bộ,Các khoản phải thu > ▪ Các khoản tạm ứng và phải thu nội bộ,▪ Các khoản tạm ứng và phải thu nội bộ,197.513,230.992,197513.0,230992.0
▪ Cổ tức phải thu,Các khoản phải thu > ▪ Cổ tức phải thu,▪ Cổ tức phải thu,-,9.500,,9500.0
,,,4.620.331,5.640.657,4620331.0,5640657.0
"Các khoản lãi, phí phải thu","Các khoản phải thu > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",3.241.224,2.798.476,3241224.0,2798476.0
Tài sản thuế thu nhập doanh nghiệp hoãn lại (Thuyết minh 24),Các khoản phải thu > Tài sản thuế thu nhập doanh nghiệp hoãn lại (Thuyết minh 24),Tài sản thuế thu nhập doanh nghiệp hoãn lại (Thuyết minh 24),-,2.800,,2800.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,,
▪ Chi phí chờ phân bổ,Tài sản Có khác > ▪ Chi phí chờ phân bổ,▪ Chi phí chờ phân bổ,523.356,551.272,523356.0,551272.0
"▪ Tài sản gán nợ đã chuyển quyền sở hữu cho TCTD, đang chở xử lý (iii)","Tài sản Có khác > ▪ Tài sản gán nợ đã chuyển quyền sở hữu cho TCTD, đang chở xử lý (iii)","▪ Tài sản gán nợ đã chuyển quyền sở hữu cho TCTD, đang chở xử lý (iii)",102.579,50.598,102579.0,50598.0
▪ Tài sản khác,Tài sản Có khác > ▪ Tài sản khác,▪ Tài sản khác,40.946,55.141,40946.0,55141.0
,,,666.881,657.011,666881.0,657011.0
Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác (iv),Tài sản Có khác > Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác (iv),Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác (iv),(518.166),(563.292),-518166.0,-563292.0
,,,8.010.270,8.535.652,8010270.0,8535652.0
