row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,VNDTriệu VND,USDTriệu VND,VàngTriệu VND,EURTriệu VND,JPYTriệu VND,AUDTriệu VND,CADTriệu VND,Tiền tệ khácTriệu VND,TổngTriệu VND,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__VàngTriệu VND,numeric__EURTriệu VND,numeric__JPYTriệu VND,numeric__AUDTriệu VND,numeric__CADTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",2.730.759,728.887,43.075,16.867,3.650,8.759,4.905,4.486,3.541.388,2730759.0,728887.0,43075.0,16867.0,3650.0,8759.0,4905.0,4486.0,3541388.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,4.343.739,775.567,-,-,-,-,-,-,5.119.306,4343739.0,775567.0,,,,,,,5119306.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,6.070.294,1.929.797,-,102.013,153.043,18.111,8.520,42.129,8.323.907,6070294.0,1929797.0,,102013.0,153043.0,18111.0,8520.0,42129.0,8323907.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,1.211.314,-,-,-,-,-,-,-,1.211.314,1211314.0,,,,,,,,1211314.0
Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,,,,,,,,,
tài chính khác,Các công cụ tài chính phải sinh và các tài sản > tài chính khác,tài chính khác,455.154,(424.975),-,-,-,(3.241),(10.873),-,16.065,455154.0,-424975.0,,,,-3241.0,-10873.0,,16065.0
Cho vay khách hàng – gộp,Các công cụ tài chính phải sinh và các tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,154.426.322,8.696.776,275.893,2.230,-,-,-,-,163.401.221,154426322.0,8696776.0,275893.0,2230.0,,,,,163401221.0
Chứng khoán đầu tư – gộp,Các công cụ tài chính phải sinh và các tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,45.786.772,-,-,-,-,-,-,-,45.786.772,45786772.0,,,,,,,,45786772.0
"Gộp vốn, đầu tư dài hạn – gộp","Các công cụ tài chính phải sinh và các tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",201.163,-,-,-,-,-,-,-,201.163,201163.0,,,,,,,,201163.0
Tài sản cố định,Các công cụ tài chính phải sinh và các tài sản > Tài sản cố định,Tài sản cố định,2.850.558,-,-,-,-,-,-,-,2.850.558,2850558.0,,,,,,,,2850558.0
Bất động sản đầu tư,Các công cụ tài chính phải sinh và các tài sản > Bất động sản đầu tư,Bất động sản đầu tư,211.872,-,-,-,-,-,-,-,211.872,211872.0,,,,,,,,211872.0
