row_label_raw,row_label_full,col_0,2016Triệu VND,2015Triệu VNDĐã phân loại lại,numeric__2016Triệu VND,numeric__2015Triệu VNDĐã phân loại lại
"1. Chi nộp thuế và các khoản phí, lệ phí","1. Chi nộp thuế và các khoản phí, lệ phí","1. Chi nộp thuế và các khoản phí, lệ phí",13.540,8.939,13540.0,8939.0
2. Chi phí cho nhân viên:,2. Chi phí cho nhân viên:,2. Chi phí cho nhân viên:,2.309.184,1.998.639,2309184.0,1998639.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
▪ Chi lương và phu cấp (i),Trong đó: > ▪ Chi lương và phu cấp (i),▪ Chi lương và phu cấp (i),708.128,642.236,708128.0,642236.0
▪ Các khoản chi đóng góp theo lương,Trong đó: > ▪ Các khoản chi đóng góp theo lương,▪ Các khoản chi đóng góp theo lương,147.590,133.894,147590.0,133894.0
▪ Chi trợ cấp,Trong đó: > ▪ Chi trợ cấp,▪ Chi trợ cấp,2.628,2.793,2628.0,2793.0
▪ Chi phí khác (i),Trong đó: > ▪ Chi phí khác (i),▪ Chi phí khác (i),1.450.838,1.219.716,1450838.0,1219716.0
3. Chi về tài sản,Trong đó: > 3. Chi về tài sản,3. Chi về tài sản,952.575,811.934,952575.0,811934.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
▪ Chi phí khẩu hao tài sản cố định,Trong đó: > ▪ Chi phí khẩu hao tài sản cố định,▪ Chi phí khẩu hao tài sản cố định,249.805,239.613,249805.0,239613.0
▪ Chi phí khác,Trong đó: > ▪ Chi phí khác,▪ Chi phí khác,702.770,572.321,702770.0,572321.0
4. Chi cho hoạt động quản lý công vụ,Trong đó: > 4. Chi cho hoạt động quản lý công vụ,4. Chi cho hoạt động quản lý công vụ,1.090.706,1.020.929,1090706.0,1020929.0
"5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Trong đó: > 5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",213.390,183.258,213390.0,183258.0
6. Trích lập/(hoàn nhập) dự phòng (ii),Trong đó: > 6. Trích lập/(hoàn nhập) dự phòng (ii),6. Trích lập/(hoàn nhập) dự phòng (ii),98.494,(2.016),98494.0,-2016.0
,,,4.677.889,4.021.683,4677889.0,4021683.0
