row_label_raw,row_label_full,col_0,Tỷ lệ trích lập hàng năm,Số dư tối đa,numeric__Tỷ lệ trích lập hàng năm,numeric__Số dư tối đa
Quỹ dự trữ bổ sung vốn góp,Quỹ dự trữ bổ sung vốn góp,Quỹ dự trữ bổ sung vốn góp,5% lợi nhuận sau thuế,10% vốn góp,,
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,5% lợi nhuận sau thuế,10% vốn góp,,
