row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2016Triệu VND,31/12/2015Triệu VNDĐã phân loại lại,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VNDĐã phân loại lại
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",5,3.541.388,2.806.088,,5.0,3541388.0,2806088.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6,5.119.306,4.608.680,,6.0,5119306.0,4608680.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,7,8.152.027,10.122.200,,7.0,8152027.0,10122200.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,6.443.182,5.971.691,,,6443182.0,5971691.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,1.880.725,4.350.650,,,1880725.0,4350650.0
3,A > 3,3,Dự phòng rủi ro,,(171.880),(200.141),,,-171880.0,-200141.0
IV,A > IV,IV,Chứng khoán kinh doanh,8,1.183.306,100.457,,8.0,1183306.0,100457.0
1,A > 1,1,Chứng khoán kinh doanh,,1.211.314,103.034,,,1211314.0,103034.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(28.008),(2.577),,,-28008.0,-2577.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,16.065,47.603,,9.0,16065.0,47603.0
VI,A > VI,VI,Cho vay khách hàng,,161.604.426,133.807.454,,,161604426.0,133807454.0
1,A > 1,1,Cho vay khách hàng,10,163.401.221,135.348.271,,10.0,163401221.0,135348271.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,11,(1.796.795),(1.540.817),,11.0,-1796795.0,-1540817.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,12,42.801.465,38.679.144,,12.0,42801465.0,38679144.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,10.962.613,11.941.248,,,10962613.0,11941248.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,34.824.159,28.821.509,,,34824159.0,28821509.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(2.985.307),(2.083.613),,,-2985307.0,-2083613.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",13,190.194,208.219,,13.0,190194.0,208219.0
2,A > 2,2,Vốn góp liên doanh,,1.280,1.278,,,1280.0,1278.0
3,A > 3,3,Đầu tư vào công ty liên kết,,346,315,,,346.0,315.0
4,A > 4,4,Đầu tư dài hạn khác,,199.537,217.204,,,199537.0,217204.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(10.969),(10.578),,,-10969.0,-10578.0
X,A > X,X,Tài sản cố định,,2.850.558,2.479.567,,,2850558.0,2479567.0
1,A > 1,1,Tài sản cố định hữu hình,14,2.338.722,2.054.258,,14.0,2338722.0,2054258.0
a,A > a,a,Nguyên giá tài sản cố định,,3.682.372,3.219.139,,,3682372.0,3219139.0
b,A > b,b,Hao mòn tài sản cố định,,(1.343.650),(1.164.881),,,-1343650.0,-1164881.0
3,A > 3,3,Tài sản cố định vô hình,15,511.836,425.309,,15.0,511836.0,425309.0
a,A > a,a,Nguyên giá tài sản cố định,,722.821,597.295,,,722821.0,597295.0
b,A > b,b,Hao mòn tài sản cố định,,(210.985),(171.986),,,-210985.0,-171986.0
XI,A > XI,XI,Bất động sản đầu tư,16,211.872,61.921,,16.0,211872.0,61921.0
a,A > a,a,Nguyên giá bất động sản đầu tư,,212.954,62.643,,,212954.0,62643.0
b,A > b,b,Hao mòn bất động sản đầu tư,,(1.082),(722),,,-1082.0,-722.0
XII,A > XII,XII,Tài sản Có khác,17,8.010.270,8.535.652,,17.0,8010270.0,8535652.0
1,A > 1,1,Các khoản phải thu,,4.620.331,5.640.657,,,4620331.0,5640657.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,3.241.224,2.798.476,,,3241224.0,2798476.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,24,-,2.800,,24.0,,2800.0
4,A > 4,4,Tài sản Có khác,,666.881,657.011,,,666881.0,657011.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(518.166),(563.292),,,-518166.0,-563292.0
,,,TỔNG TÀI SẢN,,233.680.877,201.456.985,,,233680877.0,201456985.0
