row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015 > Dưới 1 tháng,Tại ngày 31 tháng 12 năm 2015 > Từ 1 đến 3 tháng,Tại ngày 31 tháng 12 năm 2015 > Từ trên 3 đến 6 tháng,Tại ngày 31 tháng 12 năm 2015 > Từ trên 6 đến 12 tháng,Tại ngày 31 tháng 12 năm 2015 > Từ trên 1 đến 5 năm,Tại ngày 31 tháng 12 năm 2015 > Trên 5 năm,numeric__Tại ngày 31 tháng 12 năm 2015 > Dưới 1 tháng,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ 1 đến 3 tháng,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ trên 3 đến 6 tháng,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ trên 6 đến 12 tháng,numeric__Tại ngày 31 tháng 12 năm 2015 > Từ trên 1 đến 5 năm,numeric__Tại ngày 31 tháng 12 năm 2015 > Trên 5 năm
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,,,,,,
▪ VND,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ VND,▪ VND,"0,00% - 5,20%","4,10% - 6,50%","4,30% - 5,15%",(*),(*),"0,00%",,,,,,0.0
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 0,60%","0,50% - 1,00%",(*),(*),(*),(*),,,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,
▪ VND,▪ VND,▪ VND,"5,20% - 17,40%","4,46% - 22,00%","5,44% - 17,40%","4,50% - 20,00%","5,46% - 24,00%","4,91% - 21,00%",,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,"3,25% - 7,50%","1,90% - 8,50%","1,78% - 5,55%","2,20% - 7,50%","6,70%",(*),,,,,0.067,
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,,,,,,
▪ VND,Chứng khoán đầu tư > ▪ VND,▪ VND,(*),(*),(*),"10,50%","5,00% - 13,20%","6,00% - 10,80%",,,,0.105,,
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,,,,,,
▪ VND,Các khoản nợ Chính phủ và NHNNVN > ▪ VND,▪ VND,"5,00%","5,00%",(*),(*),(*),(*),0.05,0.05,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,,,,,
▪ VND,▪ VND,▪ VND,"0,00% - 5,00%","4,30% - 8,50%",(*),(*),(*),(*),,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 0,50%",(*),(*),(*),(*),(*),,,,,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,
▪ VND,Tiền gửi của khách hàng > ▪ VND,▪ VND,"0,00% - 7,50%","0,00% - 5,70%","0,00% - 6,00%","0,00% - 8,00%","0,00% - 11,00%","7,00%",,,,,,0.07
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 1,00%","0,00% - 0,25%","0,00% - 1,00%","0,00% - 1,00%","0,00% - 2,00%",(*),,,,,,
"Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,,,,,
▪ VND,"Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > ▪ VND",▪ VND,(*),"4,68%",(*),(*),(*),(*),,0.046799999999999994,,,,
▪ Ngoại tệ,"Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > ▪ Ngoại tệ",▪ Ngoại tệ,(*),(*),(*),(*),(*),"1,91%",,,,,,0.0191
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,,,,
▪ VND,Phát hành giấy tờ có giá > ▪ VND,▪ VND,(*),(*),(*),"8,50%",(*),"13,25%",,,,0.085,,0.1325
