row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2016Triệu VND,2015Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2016Triệu VND,numeric__2015Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,26,16.448.249,14.081.792,,26.0,16448249.0,14081792.0
2,2,2,Chỉ phí lãi và các chi phí tương tự,27,(9.556.360),(8.198.265),,27.0,-9556360.0,-8198265.0
I,I,I,Thu nhập lãi thuần,,6.891.889,5.883.527,,,6891889.0,5883527.0
3,3,3,Thu nhập từ hoạt động dịch vụ,28,1.274.131,1.020.989,,28.0,1274131.0,1020989.0
4,4,4,Chỉ phí hoạt động dịch vụ,29,(329.749),(275.763),,29.0,-329749.0,-275763.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,,944.382,745.226,,,944382.0,745226.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,30,230.096,120.624,,30.0,230096.0,120624.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,31,72.083,14.544,,31.0,72083.0,14544.0
V,V,V,Lỗ thuần từ mua bán chứng khoán đầu tư,32,(885.963),(807.600),,32.0,-885963.0,-807600.0
5,5,5,Thu nhập từ hoạt động khác,,296.285,275.511,,,296285.0,275511.0
6,6,6,Chỉ phí hoạt động khác,,(11.081),(33.028),,,-11081.0,-33028.0
VI,VI,VI,Lãi thuần từ hoạt động khác,33,285.204,242.483,,33.0,285204.0,242483.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",34,24.811,21.485,,34.0,24811.0,21485.0
VIII,VIII,VIII,Chỉ phí hoạt động,35,(4.677.889),(4.021.683),,35.0,-4677889.0,-4021683.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chỉ phí dự phòng rủi ro tín dụng,,2.884.613,2.198.606,,,2884613.0,2198606.0
X,X,X,Chỉ phí dự phòng rủi ro tín dụng,36,(1.217.587),(884.455),,36.0,-1217587.0,-884455.0
XI,XI,XI,Tổng lợi nhuận trước thuế (mang sang trang sau),,1.667.026,1.314.151,,,1667026.0,1314151.0
