row_label_raw,row_label_full,col_0,31/12/2016Triệu VND,31/12/2015Triệu VNDĐã phân loại lại,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VNDĐã phân loại lại
Thương mại,Thương mại,Thương mại,34.441.784,30.329.878,34441784.0,30329878.0
Nông. lâm nghiệp,Nông. lâm nghiệp,Nông. lâm nghiệp,881.687,996.535,881687.0,996535.0
Sản xuất và gia công chế biến,Sản xuất và gia công chế biến,Sản xuất và gia công chế biến,21.218.248,21.150.412,21218248.0,21150412.0
Xây dựng,Xây dựng,Xây dựng,6.922.641,5.474.991,6922641.0,5474991.0
Dịch vụ cá nhân và cộng đồng,Dịch vụ cá nhân và cộng đồng,Dịch vụ cá nhân và cộng đồng,2.583.919,1.873.507,2583919.0,1873507.0
"Kho bãi, giao thông vận tải và thông tin liên lạc","Kho bãi, giao thông vận tải và thông tin liên lạc","Kho bãi, giao thông vận tải và thông tin liên lạc",3.071.674,2.466.702,3071674.0,2466702.0
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,241.580,141.006,241580.0,141006.0
Tư vấn và kinh doanh bất động sản,Tư vấn và kinh doanh bất động sản,Tư vấn và kinh doanh bất động sản,3.610.697,2.541.278,3610697.0,2541278.0
Nhà hàng và khách sạn,Nhà hàng và khách sạn,Nhà hàng và khách sạn,2.469.500,2.369.511,2469500.0,2369511.0
Dịch vụ tài chính,Dịch vụ tài chính,Dịch vụ tài chính,31.801,9.217,31801.0,9217.0
Các ngành nghề khác và cho vay cá nhân,Các ngành nghề khác và cho vay cá nhân,Các ngành nghề khác và cho vay cá nhân,87.927.690,67.995.234,87927690.0,67995234.0
,,,163.401.221,135.348.271,163401221.0,135348271.0
