row_label_raw,row_label_full,02,Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3.054.000,-,numeric__Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,numeric__3.054.000,numeric__-
04,04,04,Cổ tức trả cho cổ đông,-,(627.392),,,-627392.0
05,05,05,Tiền chi mua cổ phiếu quỹ,-,(601),,,-601.0
III,III,III,LU'U CHUYÊN TIỀN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,3.054.000,(627.993),,3054000.0,-627993.0
IV,IV,IV,LU'U CHUYÊN TIỀN THUÀN TRONG NĂM,2.388.496,2.549.026,,2388496.0,2549026.0
V,V,V,TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN TẠI THỜI ĐIỂM ĐẦU NĂM,12.190.381,9.641.355,,12190381.0,9641355.0
VII,VII,VII,TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN TẠI THỜI ĐIỂM CUỐI NĂM (THUYẾT MINH 39),14.578.877,12.190.381,,14578877.0,12190381.0
