row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2015,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.094.023,833.662,323.232,164.116,3.415.033,2094023.0,833662.0,323232.0,164116.0,3415033.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,81.993,820,6.474,89.287,,81993.0,820.0,6474.0,89287.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,68.359,403,-,1.435,70.197,68359.0,403.0,,1435.0,70197.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(253.000),(27.738),(71.363),(3.277),(355.378),-253000.0,-27738.0,-71363.0,-3277.0,-355378.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,40,-,(40),-,,40.0,,-40.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.909.382,888.360,252.689,168.708,3.219.139,1909382.0,888360.0,252689.0,168708.0,3219139.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,227.808,535.714,169.100,97.488,1.030.110,227808.0,535714.0,169100.0,97488.0,1030110.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,47.875,119.715,22.061,14.072,203.723,47875.0,119715.0,22061.0,14072.0,203723.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(7.407),(27.547),(30.978),(3.020),(68.952),-7407.0,-27547.0,-30978.0,-3020.0,-68952.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,268.276,627.882,160.183,108.540,1.164.881,268276.0,627882.0,160183.0,108540.0,1164881.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.866.215,297.948,154.132,66.628,2.384.923,1866215.0,297948.0,154132.0,66628.0,2384923.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.641.106,260.478,92.506,60.168,2.054.258,1641106.0,260478.0,92506.0,60168.0,2054258.0
