row_label_raw,row_label_full,col_0,2016Triệu VND,2015Triệu VND,numeric__2016Triệu VND,numeric__2015Triệu VND
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thu từ các công cụ tài chính phải sinh khác,Thu nhập khác > Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,-,1.091,,1091.0
Thu hồi nợ đã dùng dự phòng xử lý trong những năm trước,Thu nhập khác > Thu hồi nợ đã dùng dự phòng xử lý trong những năm trước,Thu hồi nợ đã dùng dự phòng xử lý trong những năm trước,79.185,147.890,79185.0,147890.0
Thu từ hoạt động kinh doanh khác,Thu nhập khác > Thu từ hoạt động kinh doanh khác,Thu từ hoạt động kinh doanh khác,1.800,1.462,1800.0,1462.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,215.300,125.068,215300.0,125068.0
,,,296.285,275.511,296285.0,275511.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Chi về các công cụ tài chính phải sinh khác,Chi phí khác > Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,-,(1.080),,-1080.0
Chi về hoạt động kinh doanh khác,Chi phí khác > Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,(284),(340),-284.0,-340.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,(10.797),(31.608),-10797.0,-31608.0
,,,(11.081),(33.028),-11081.0,-33028.0
,,,285.204,242.483,285204.0,242483.0
