row_label_raw,row_label_full,col_0,Căn hộ cho thuê,Cộng,numeric__Căn hộ cho thuê,numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,228.897.249.378,228.897.249.378,228897249378.0,228897249378.0
- Mua trong năm (*),Nguyên giá > - Mua trong năm (*),- Mua trong năm (*),259.621.720.926,259.621.720.926,259621720926.0,259621720926.0
- Chuyển từ tài sản cố định,Nguyên giá > - Chuyển từ tài sản cố định,- Chuyển từ tài sản cố định,13.186.533.163,13.186.533.163,13186533163.0,13186533163.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,501.705.503.467,501.705.503.467,501705503467.0,501705503467.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,32.158.084.228,32.158.084.228,32158084228.0,32158084228.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,14.292.691.321,14.292.691.321,14292691321.0,14292691321.0
- Chuyển từ tài sản cố định,Giá trị hao mòn lũy kế > - Chuyển từ tài sản cố định,- Chuyển từ tài sản cố định,1.831.462.943,1.831.462.943,1831462943.0,1831462943.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,48.282.238.492,48.282.238.492,48282238492.0,48282238492.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,196.739.165.150,196.739.165.150,196739165150.0,196739165150.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,453.423.264.975,453.423.264.975,453423264975.0,453423264975.0
