row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.214.481.530.000,1.976.351.645,19.572.915.034,627.967.000.063,78.045.243.393,3.942.043.040.135,3214481530000.0,1976351645.0,19572915034.0,627967000063.0,78045243393.0,3942043040135.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,221.996.674.167,2.616.078.076,224.612.752.243,,,,221996674167.0,2616078076.0,224612752243.0
Lãi lỗ do thay đổi tỉ lệ lợi ích của Công ty con,Lãi lỗ do thay đổi tỉ lệ lợi ích của Công ty con,Lãi lỗ do thay đổi tỉ lệ lợi ích của Công ty con,-,-,-,8.516.837,(8.516.837),-,,,,8516837.0,-8516837.0,
Giảm khác,Giảm khác,Giảm khác,-,-,-,2.306.361.829,(2.825.624.866),(519.263.037),,,,2306361829.0,-2825624866.0,-519263037.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.214.481.530.000,1.976.351.645,19.572.915.034,852.278.552.896,77.827.179.766,4.166.136.529.341,3214481530000.0,1976351645.0,19572915034.0,852278552896.0,77827179766.0,4166136529341.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.214.481.530.000,1.976.351.645,19.572.915.034,852.278.552.896,77.827.179.766,4.166.136.529.341,3214481530000.0,1976351645.0,19572915034.0,852278552896.0,77827179766.0,4166136529341.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,348.147.604.458,3.703.226.184,351.850.830.642,,,,348147604458.0,3703226184.0,351850830642.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,257.125.600.000,-,-,(257.125.600.000),-,-,257125600000.0,,,-257125600000.0,,
Lãi lỗ do thay đổi tỉ lệ lợi ích của Công ty con,Lãi lỗ do thay đổi tỉ lệ lợi ích của Công ty con,Lãi lỗ do thay đổi tỉ lệ lợi ích của Công ty con,-,-,-,6.885.030,(6.885.030),-,,,,6885030.0,-6885030.0,
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,(16.706.482.593),(16.706.482.593),,,,,-16706482593.0,-16706482593.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.471.607.130.000,1.976.351.645,19.572.915.034,943.307.442.384,64.817.038.327,4.501.280.877.390,3471607130000.0,1976351645.0,19572915034.0,943307442384.0,64817038327.0,4501280877390.0
