row_label_raw,row_label_full,col_0,Miền Bắc,Miền Trung,Miền Nam,Tổng cộng toàn doanh nghiệp,numeric__Miền Bắc,numeric__Miền Trung,numeric__Miền Nam,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,238.909.122.470,119.482.111.796,8.184.021.413,366.575.255.679,238909122470.0,119482111796.0,8184021413.0,366575255679.0
+ Kinh doanh ô tô,+ Kinh doanh ô tô,+ Kinh doanh ô tô,179.596.493.040,119.482.111.796,8.184.021.413,307.262.626.249,179596493040.0,119482111796.0,8184021413.0,307262626249.0
+ Kinh doanh Bất động sản,+ Kinh doanh Bất động sản,+ Kinh doanh Bất động sản,55.785.912.875,-,-,55.785.912.875,55785912875.0,,,55785912875.0
+ Hoạt động khác,+ Hoạt động khác,+ Hoạt động khác,3.526.716.555,-,-,3.526.716.555,3526716555.0,,,3526716555.0
Giá vốn,Giá vốn,Giá vốn,200.849.936.634,117.040.827.218,8.080.849.837,325.971.613.689,200849936634.0,117040827218.0,8080849837.0,325971613689.0
+ Kinh doanh ô tô,+ Kinh doanh ô tô,+ Kinh doanh ô tô,170.393.714.140,117.040.827.218,8.080.849.837,295.515.391.195,170393714140.0,117040827218.0,8080849837.0,295515391195.0
+ Kinh doanh Bất động sản,+ Kinh doanh Bất động sản,+ Kinh doanh Bất động sản,27.476.878.171,-,-,27.476.878.171,27476878171.0,,,27476878171.0
+ Hoạt động khác,+ Hoạt động khác,+ Hoạt động khác,2.979.344.323,-,-,2.979.344.323,2979344323.0,,,2979344323.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,38.059.185.836,2.441.284.578,103.171.576,40.603.641.990,38059185836.0,2441284578.0,103171576.0,40603641990.0
+ Kinh doanh ô tô,+ Kinh doanh ô tô,+ Kinh doanh ô tô,9.202.778.900,2.441.284.578,103.171.576,11.747.235.054,9202778900.0,2441284578.0,103171576.0,11747235054.0
+ Kinh doanh Bất động sản,+ Kinh doanh Bất động sản,+ Kinh doanh Bất động sản,28.309.034.704,-,-,28.309.034.704,28309034704.0,,,28309034704.0
+ Hoạt động khác,+ Hoạt động khác,+ Hoạt động khác,547.372.232,-,-,547.372.232,547372232.0,,,547372232.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,,,,4.673.591.233.738,,,,4673591233738.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,,,,4.673.591.233.738,,,,4673591233738.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,,,,172.310.356.348,,,,172310356348.0
Tổng Nợ phải trả,Tổng Nợ phải trả,Tổng Nợ phải trả,,,,172.310.356.348,,,,172310356348.0
