row_label_raw,row_label_full,Phân phối lợi nhuận,Tại Công ty mẹ (1),Các công ty con phân phối cho,Các công ty con phân phối cho_1,Cộng (3) = (1) + (2),numeric__Tại Công ty mẹ (1),numeric__Các công ty con phân phối cho,numeric__Các công ty con phân phối cho_1,numeric__Cộng (3) = (1) + (2)
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,Tại Công ty mẹ (1),Công ty mẹ (2),Cổ đông không kiểm soát,Cộng (3) = (1) + (2),,,,
,,,VND,VND,VND,VND,,,,
Chi trả cổ tức bằng cổ phiếu (*),Phân phối lợi nhuận > Chi trả cổ tức bằng cổ phiếu (*),Chi trả cổ tức bằng cổ phiếu (*),257.125.600.000,,,257.125.600.000,257125600000.0,,,257125600000.0
Pruska chia lợi nhuận,Phân phối lợi nhuận > Pruska chia lợi nhuận,Pruska chia lợi nhuận,,153.293.517.407,16.706.482.593,153.293.517.407,,153293517407.0,16706482593.0,153293517407.0
