row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vậntải, truyền dẫn",TSCĐ dùngtrong quản lý,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vậntải, truyền dẫn",numeric__TSCĐ dùngtrong quản lý,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,16.156.288.276,1.633.829.496,13.251.615.329,651.176.071,31.692.909.172,16156288276.0,1633829496.0,13251615329.0,651176071.0,31692909172.0
- Đầu tư xây dựng cơbản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơbản hoàn thành,- Đầu tư xây dựng cơbản hoàn thành,-,2.128.409.091,-,-,2.128.409.091,,2128409091.0,,,2128409091.0
- Chuyển sang BĐSđầu tư,Nguyên giá > - Chuyển sang BĐSđầu tư,- Chuyển sang BĐSđầu tư,(13.186.533.163),-,-,-,(13.186.533.163),-13186533163.0,,,,-13186533163.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(12.253.309.874),-,(12.253.309.874),,,-12253309874.0,,-12253309874.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.969.755.113,3.762.238.587,998.305.455,651.176.071,8.381.475.226,2969755113.0,3762238587.0,998305455.0,651176071.0,8381475226.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.860.453.729,1.434.601.596,7.112.839.997,651.176.071,12.059.071.393,2860453729.0,1434601596.0,7112839997.0,651176071.0,12059071393.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,465.866.220,209.204.056,917.249.570,-,1.592.319.846,465866220.0,209204056.0,917249570.0,,1592319846.0
- Chuyển sang BĐSđầu tư,Giá trị hao mòn lũy kế > - Chuyển sang BĐSđầu tư,- Chuyển sang BĐSđầu tư,(1.831.462.943),-,-,-,(1.831.462.943),-1831462943.0,,,,-1831462943.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(7.031.784.112),-,(7.031.784.112),,,-7031784112.0,,-7031784112.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.494.857.006,1.643.805.652,998.305.455,651.176.071,4.788.144.184,1494857006.0,1643805652.0,998305455.0,651176071.0,4788144184.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,13.295.834.547,199.227.900,6.138.775.332,-,19.633.837.779,13295834547.0,199227900.0,6138775332.0,,19633837779.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.474.898.107,2.118.432.935,-,-,3.593.331.042,1474898107.0,2118432935.0,,,3593331042.0
