row_label_raw,row_label_full,13.,Chi phí xây dựng cơ bản dở dang,Cuối năm VND,Đầu năm VND,numeric__Chi phí xây dựng cơ bản dở dang,numeric__Cuối năm VND,numeric__Đầu năm VND
,,,"Mô đá tại Gia Kiệm, Thống Nhất - Đồng Nai",1.023.048.503,222.062.503,,1023048503.0,222062503.0
,,,Sửa chữa Văn Phòng Tổng công ty,45.220.909,-,,45220909.0,
,,,Cộng(i),1.068.269.412,222.062.503,,1068269412.0,222062503.0
i),i),i),"Chi tiết tăng, giảm chi phí xây dựng cơ bản dở dang",Năm nay VND,Năm trước VND,,,
,,,Số đầu năm,222.062.503,222.062.503,,222062503.0,222062503.0
,,,Đầu tư xây dựng tăng trong năm,846.206.909,9.456.240.083,,846206909.0,9456240083.0
,,,Tăng khác,-,-,,,
,,,Đầu tư xây dựng hoàn thành tăng tài sản cố định,-,(9.456.240.083),,,-9456240083.0
,,,Giảm khác,-,-,,,
,,,Số cuối năm,1.068.269.412,222.062.503,,1068269412.0,222062503.0
14.,14.,14.,Phải trả người bán ngắn hạn,Cuối năm VND,Đầu năm VND,,,
,,,Công ty TNHH Xuân Vy,2.025.885.297,7.598.356.771,,2025885297.0,7598356771.0
,,,Công ty TNHH Kỹ nghệ Toàn Tâm (TTE.Co),6.814.375.000,8.814.375.000,,6814375000.0,8814375000.0
,,,Công ty TNHH Thang máy và Thiết bị Thăng Long,19.371.000.000,-,,19371000000.0,
,,,Công ty TNHH Xây dựng Phương Linh,7.543.765.000,-,,7543765000.0,
,,,Công ty CP Sông Đà DIC,-,772.311.998,,,772311998.0
,,,Phải trả các nhà cung cấp khác,21.393.163.644,24.034.521.429,,21393163644.0,24034521429.0
,,,Phải trả người bán là các bên liên quan,58.488.425.403,9.820.136.801,,58488425403.0,9820136801.0
,,,Công Ty CP Đầu tư Phát triển Xây dựng Số 1,23.153.842.383,3.550.764.071,,23153842383.0,3550764071.0
,,,Công Ty CP Du Lịch Và Thương Mại DIC,2.691.183.468,31.421.209,,2691183468.0,31421209.0
,,,Công Ty CP Vật Liệu Xây dựng DIC,-,532.305.322,,,532305322.0
,,,Công Ty CP Đầu tư Phát triển Xây dựng DIC Số 2,12.357.690.159,2.942.446.161,,12357690159.0,2942446161.0
,,,Công Ty CP Bất Động Sản DIC (môi giới),2.313.913.226,2.291.527.425,,2313913226.0,2291527425.0
,,,Công Ty CP DIC Số 4,9.150.325.100,-,,9150325100.0,
,,,Công Ty CP ĐTPTXD Thanh Bình,8.821.471.067,471.672.613,,8821471067.0,471672613.0
,,,Cộng,115.636.614.344,51.039.701.999,,115636614344.0,51039701999.0
15.,15.,15.,Người mua trả tiền trước ngắn hạn,Cuối năm VND,Đầu năm VND,,,
,,,Người mua trả tiền trước là các bên liên quan,5.052.230.000,3.395.143.604,,5052230000.0,3395143604.0
