row_label_raw,row_label_full,Tiền và các khoản tương đương tiền,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Tiền mặt,Tiền mặt,Tiền mặt,14.184.160.298,8.380.013.914,14184160298.0,8380013914.0
Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,152.283.204.591,22.436.935.582,152283204591.0,22436935582.0
VND,VND,VND,152.261.430.493,22.415.353.574,152261430493.0,22415353574.0
USD,USD,USD,21.774.098,21.582.008,21774098.0,21582008.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,-,20.991.041.398,,20991041398.0
Tiền gửi có kỳ hạn tại Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Tiền gửi có kỳ hạn tại Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Tiền gửi có kỳ hạn tại Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,-,20.991.041.398,,20991041398.0
Cộng,Cộng,Cộng,166.467.364.889,51.807.990.894,166467364889.0,51807990894.0
