row_label_raw,row_label_full,Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,128.135.130.882,28.075.839.772,128135130882.0,28075839772.0
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,26.034.369.584,37.049.756.903,26034369584.0,37049756903.0
Các khoản chi phí không được trừ,Các khoản chi phí không được trừ,Các khoản chi phí không được trừ,2.615.104.362,18.376.486.096,2615104362.0,18376486096.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,-,18.673.270.807,,18673270807.0
Chênh lệch tỷ giá hối đoái lỗ Vina Đại Phước,Chênh lệch tỷ giá hối đoái lỗ Vina Đại Phước,Chênh lệch tỷ giá hối đoái lỗ Vina Đại Phước,23.419.265.222,-,23419265222.0,
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(15.580.466.957),(31.957.310.627),-15580466957.0,-31957310627.0
Cổ tức được chia,Cổ tức được chia,Cổ tức được chia,(13.216.374.585),(10.674.486.380),-13216374585.0,-10674486380.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(2.364.092.372),(21.282.824.247),-2364092372.0,-21282824247.0
Tổng lợi nhuận tính thuế,Tổng lợi nhuận tính thuế,Tổng lợi nhuận tính thuế,138.589.033.509,33.168.286.048,138589033509.0,33168286048.0
Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,20%,22%,0.2,0.22
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,27.717.806.702,7.297.022.931,27717806702.0,7297022931.0
