row_label_raw,row_label_full,a) Doanh thu chưa thực hiện ngắn hạn,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Doanh thu nhận trước,Doanh thu nhận trước,Doanh thu nhận trước,3.399.690.537,3.374.235.992,3399690537.0,3374235992.0
Công ty TNHH Jeongsan vina,Công ty TNHH Jeongsan vina,Công ty TNHH Jeongsan vina,3.374.235.992,3.374.235.992,3374235992.0,3374235992.0
Viettel Chi nhánh Đồng Nai,Viettel Chi nhánh Đồng Nai,Viettel Chi nhánh Đồng Nai,25.454.545,-,25454545.0,
Cộng,Cộng,Cộng,3.399.690.537,3.374.235.992,3399690537.0,3374235992.0
b) Doanh thu chưa thực hiện dài hạn,b) Doanh thu chưa thực hiện dài hạn,b) Doanh thu chưa thực hiện dài hạn,Cuối năm VND,Đầu năm VND,,
Doanh thu nhận trước,b) Doanh thu chưa thực hiện dài hạn > Doanh thu nhận trước,Doanh thu nhận trước,138.062.459.324,141.436.695.316,138062459324.0,141436695316.0
Công ty TNHH Jeongsan vina,b) Doanh thu chưa thực hiện dài hạn > Công ty TNHH Jeongsan vina,Công ty TNHH Jeongsan vina,138.062.459.324,141.436.695.316,138062459324.0,141436695316.0
Cộng,b) Doanh thu chưa thực hiện dài hạn > Cộng,Cộng,138.062.459.324,141.436.695.316,138062459324.0,141436695316.0
