row_label_raw,row_label_full,Vay và nợ thuê tài chính dài hạn,col_1,Cuối năm VND > Giá trị,Cuối năm VND > Số có khả năng trả nợ,Trong năm VND > Tăng,Trong năm VND > Giảm,Đầu năm VND > Giá trị,Đầu năm VND > Số có khả năng trả nợ,numeric__col_1,numeric__Cuối năm VND > Giá trị,numeric__Cuối năm VND > Số có khả năng trả nợ,numeric__Trong năm VND > Tăng,numeric__Trong năm VND > Giảm,numeric__Đầu năm VND > Giá trị,numeric__Đầu năm VND > Số có khả năng trả nợ
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
"Ngân hàng TMCP Phát Triển TP.HCM, CN Vũng Tàu(i)","Vay dài hạn > Ngân hàng TMCP Phát Triển TP.HCM, CN Vũng Tàu(i)","Ngân hàng TMCP Phát Triển TP.HCM, CN Vũng Tàu(i)",247.808.984.018,247.808.984.018,229.240.891.965,61.941.791.397,80.509.883.450,80.509.883.450,,247808984018.0,247808984018.0,229240891965.0,61941791397.0,80509883450.0,80509883450.0,
"Ngân hàng TMCP Bưu điện Liên Việt, CN Vũng Tàu(ii)","Vay dài hạn > Ngân hàng TMCP Bưu điện Liên Việt, CN Vũng Tàu(ii)","Ngân hàng TMCP Bưu điện Liên Việt, CN Vũng Tàu(ii)",36.422.537.307,36.422.537.307,39.497.266.473,3.074.729.166,-,-,,36422537307.0,36422537307.0,39497266473.0,3074729166.0,,,
"Ngân hàng TMCP Á Châu, CN TP.HCM(iii)","Vay dài hạn > Ngân hàng TMCP Á Châu, CN TP.HCM(iii)","Ngân hàng TMCP Á Châu, CN TP.HCM(iii)",143.249.987.066,143.249.987.066,143.249.987.066,-,-,-,,143249987066.0,143249987066.0,143249987066.0,,,,
Cộng,Vay dài hạn > Cộng,Cộng,427.481.508.391,427.481.508.391,411.988.145.504,65.016.520.563,80.509.883.450,80.509.883.450,,427481508391.0,427481508391.0,411988145504.0,65016520563.0,80509883450.0,80509883450.0,
