row_label_raw,row_label_full,SL,%,Giá gốc,Dự phòng,Giá trị hợp lý,numeric__%,numeric__Giá gốc,numeric__Dự phòng,numeric__Giá trị hợp lý
6.800.000,6.800.000,6.800.000,"10,00",68.000.000.000,-,68.000.000.000,10.0,68000000000.0,,68000000000.0
2.400.000,2.400.000,2.400.000,"4,80",24.000.000.000,-,24.000.000.000,4.8,24000000000.0,,24000000000.0
,,,,-,-,-,,,,
143.000,143.000,143.000,"9,02",1.240.000.000,(783.914.553),456.085.447,9.02,1240000000.0,-783914553.0,456085447.0
600.000,600.000,600.000,"15,00",6.000.000.000,-,6.000.000.000,15.0,6000000000.0,,6000000000.0
2.000.000,2.000.000,2.000.000,"5,00",20.000.000.000,-,20.000.000.000,5.0,20000000000.0,,20000000000.0
,,,"5,00",8.469.000.000,(6.124.754),8.462.875.246,5.0,8469000000.0,-6124754.0,8462875246.0
,,,"10,00",38.025.000.000,-,38.025.000.000,10.0,38025000000.0,,38025000000.0
211.800,211.800,211.800,"8,40",3.706.500.000,(2.732.220.000),974.280.000,8.4,3706500000.0,-2732220000.0,974280000.0
1.239.318,1.239.318,1.239.318,"6,44",11.733.600.000,(3.430.169.400),8.303.430.600,6.44,11733600000.0,-3430169400.0,8303430600.0
,,,,1.335.163.973.420,(138.337.309.329),1.196.826.664.091,,1335163973420.0,-138337309329.0,1196826664091.0
