row_label_raw,row_label_full,Năm trước,Thương mại & Dịch vụ,Xây dựng,Bất động sản,Cộng VND,numeric__Thương mại & Dịch vụ,numeric__Xây dựng,numeric__Bất động sản,numeric__Cộng VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,11.095.979.985,37.575.272.727,145.654.004.020,194.325.256.732,11095979985.0,37575272727.0,145654004020.0,194325256732.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,(9.734.076.032),(32.918.318.301),(98.303.765.718),(140.956.160.051),-9734076032.0,-32918318301.0,-98303765718.0,-140956160051.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.361.903.953,4.656.954.426,47.350.238.302,53.369.096.681,1361903953.0,4656954426.0,47350238302.0,53369096681.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,68.497.547.909,,,,68497547909.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(5.589.429.740),,,,-5589429740.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,(6.957.157.743),,,,-6957157743.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,(65.952.510.851),,,,-65952510851.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,5.962.951.478,,,,5962951478.0
Chí phí khác,Chí phí khác,Chí phí khác,,,,(21.254.657.962),,,,-21254657962.0
Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,,,,(7.297.022.931),,,,-7297022931.0
Chi phí thuế TNDN hoãn lại phải trả,Chi phí thuế TNDN hoãn lại phải trả,Chi phí thuế TNDN hoãn lại phải trả,,,,3.473.083.104,,,,3473083104.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,17.305.733.737,,,,17305733737.0
