row_label_raw,row_label_full,1.,Tổng doanh thu bán hàng và cung cấp dịch vụ,Năm nay VND,Năm trước VND,numeric__Tổng doanh thu bán hàng và cung cấp dịch vụ,numeric__Năm nay VND,numeric__Năm trước VND
,,,Doanh thu bán hàng,-,-,,,
,,,Doanh thu cung cấp dịch vụ,2.791.542.400,11.095.979.985,,2791542400.0,11095979985.0
,,,Doanh thu hợp đồng xây dựng,104.994.944.980,37.575.272.727,,104994944980.0,37575272727.0
,,,Doanh thu kinh doanh bất động sản,608.406.384.492,182.425.765.204,,608406384492.0,182425765204.0
,,,Cộng,716.192.871.872,231.097.017.916,,716192871872.0,231097017916.0
2.,2.,2.,Các khoản giảm trừ doanh thu,Năm nay VND,Năm trước VND,,,
,,,Hàng bán bị trả lại,162.708.886.794,36.771.761.184,,162708886794.0,36771761184.0
,,,Cộng,162.708.886.794,36.771.761.184,,162708886794.0,36771761184.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Năm nay VND,Năm trước VND,,,
,,,Doanh thu thuần bán hàng,-,-,,,
,,,Doanh thu thuần cung cấp dịch vụ,2.791.542.400,11.095.979.985,,2791542400.0,11095979985.0
,,,Doanh thu thuần hợp đồng xây dựng,104.994.944.980,37.575.272.727,,104994944980.0,37575272727.0
,,,Doanh thu thuần kinh doanh bất động sản,445.697.497.698,145.654.004.020,,445697497698.0,145654004020.0
,,,Cộng,553.483.985.078,194.325.256.732,,553483985078.0,194325256732.0
4.,4.,4.,Giá vốn hàng bán,Năm nay VND,Năm trước VND,,,
,,,Giá vốn của dịch vụ đã cung cấp,2.163.198.106,9.734.076.032,,2163198106.0,9734076032.0
,,,Giá vốn của hợp đồng xây dựng,97.682.724.793,32.918.318.301,,97682724793.0,32918318301.0
,,,Giá vốn kinh doanh bất động sản,259.895.524.663,98.303.765.718,,259895524663.0,98303765718.0
,,,Chi phí kinh doanh Bất động sản đầu tư,2.889.116.656,-,,2889116656.0,
,,,Cộng,362.630.564.218,140.956.160.051,,362630564218.0,140956160051.0
