row_label_raw,row_label_full,col_0,SL,%,Giá gốc,Dự phòng,Giá trị hợp lý,SL_1,%_1,Giá gốc_1,Dự phòng_1,Giá trị hợp lý_1,numeric__SL,numeric__%,numeric__Giá gốc,numeric__Dự phòng,numeric__Giá trị hợp lý,numeric__SL_1,numeric__%_1,numeric__Giá gốc_1,numeric__Dự phòng_1,numeric__Giá trị hợp lý_1
Công ty CP Đầu tư PT XDSố 1,Công ty CP Đầu tư PT XDSố 1,Công ty CP Đầu tư PT XDSố 1,775.100,"51,67",7.751.000.000,-,7.751.000.000,775.100,"51,67",7.751.000.000,(3.794.150.500),3.956.849.500,775100.0,51.67,7751000000.0,,7751000000.0,775100.0,51.67,7751000000.0,-3794150500.0,3956849500.0
Công ty Cổ phần Đầu tư Phát triển XD DIC số 2,Công ty Cổ phần Đầu tư Phát triển XD DIC số 2,Công ty Cổ phần Đầu tư Phát triển XD DIC số 2,1.261.800,"50,07",12.862.796.574,,12.862.796.574,,,,,,1261800.0,50.07,12862796574.0,,12862796574.0,,,,,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,811.869.657.533,(48.786.069.606),763.083.587.927,,,823.832.682.533,(49.524.173.919),774.308.508.614,,,811869657533.0,-48786069606.0,763083587927.0,,,823832682533.0,-49524173919.0,774308508614.0
Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,45.080.000,"28,00",450.800.000.000,(10.873.490.261),439.926.509.739,45.080.000,"28,00",450.800.000.000,(6.373.641.743),444.426.358.257,45080000.0,28.0,450800000000.0,-10873490261.0,439926509739.0,45080000.0,28.0,450800000000.0,-6373641743.0,444426358257.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,18.920.000,"43,00",189.200.000.000,-,189.200.000.000,18.920.000,"43,00",189.200.000.000,(2.527.398.663),186.672.601.337,18920000.0,43.0,189200000000.0,,189200000000.0,18920000.0,43.0,189200000000.0,-2527398663.0,186672601337.0
Công ty CP Đầu tư Thiên Việt Lâm,Công ty CP Đầu tư Thiên Việt Lâm,Công ty CP Đầu tư Thiên Việt Lâm,8.622.034,"22,00",86.220.344.334,(2.754.499.240),83.465.845.094,8.622.034,"22,00",86.220.344.334,(2.560.703.317),83.659.641.017,8622034.0,22.0,86220344334.0,-2754499240.0,83465845094.0,8622034.0,22.0,86220344334.0,-2560703317.0,83659641017.0
Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,7.350.000,"40,83",34.511.962.306,(34.511.962.306),-,7.350.000,"40,83",34.511.962.306,(34.511.962.306),-,7350000.0,40.83,34511962306.0,-34511962306.0,,7350000.0,40.83,34511962306.0,-34511962306.0,
Công ty CP ĐT Phát triển Xây dựng Bê tông,Công ty CP ĐT Phát triển Xây dựng Bê tông,Công ty CP ĐT Phát triển Xây dựng Bê tông,1.259.994,"36,00",17.982.564.000,-,17.982.564.000,1.259.994,"36,00",17.982.564.000,-,17.982.564.000,1259994.0,36.0,17982564000.0,,17982564000.0,1259994.0,36.0,17982564000.0,,17982564000.0
Công ty CP Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,Công ty CP Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,Công ty CP Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,1.793.856,"23,92",17.938.560.000,(646.117.799),17.292.442.201,1.793.856,"24,86",17.938.560.000,(1.820.021.313),16.118.538.687,1793856.0,23.92,17938560000.0,-646117799.0,17292442201.0,1793856.0,24.86,17938560000.0,-1820021313.0,16118538687.0
Công ty CP Đầu tư Phát triển Xây dựng (DIC) số 2,Công ty CP Đầu tư Phát triển Xây dựng (DIC) số 2,Công ty CP Đầu tư Phát triển Xây dựng (DIC) số 2,,,-,-,-,1.050.000,"41,67",11.963.025.000,(1.730.446.577),10.232.578.423,,,,,,1050000.0,41.67,11963025000.0,-1730446577.0,10232578423.0
