row_label_raw,row_label_full,Chi phí bán hàng,7.987.650.802,6.957.157.743,numeric__7.987.650.802,numeric__6.957.157.743
Chi phí môi giới,Chi phí môi giới,Chi phí môi giới,7.015.924.657,3.828.891.754,7015924657.0,3828891754.0
"Chi phí tiếp thị, quảng cáo","Chi phí tiếp thị, quảng cáo","Chi phí tiếp thị, quảng cáo",621.153.818,-,621153818.0,
Chi phí khác,Chi phí khác,Chi phí khác,350.572.327,3.128.265.989,350572327.0,3128265989.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,51.792.360.562,65.952.510.851,51792360562.0,65952510851.0
Chi phí cho nhân viên quản lý,Chi phí cho nhân viên quản lý,Chi phí cho nhân viên quản lý,23.821.683.769,20.620.749.637,23821683769.0,20620749637.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,-,18.673.270.807,,18673270807.0
Chi phí nhiên liệu,Chi phí nhiên liệu,Chi phí nhiên liệu,860.271.629,893.712.066,860271629.0,893712066.0
"Chi phí công cụ , dụng cụ","Chi phí công cụ , dụng cụ","Chi phí công cụ , dụng cụ",475.108.541,365.011.274,475108541.0,365011274.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,2.724.638.429,4.775.712.664,2724638429.0,4775712664.0
Chi phí mua ngoài,Chi phí mua ngoài,Chi phí mua ngoài,1.073.554.135,1.269.513.840,1073554135.0,1269513840.0
Chi phí khác,Chi phí khác,Chi phí khác,22.837.104.059,19.354.540.563,22837104059.0,19354540563.0
Cộng,Cộng,Cộng,59.780.011.364,72.909.668.594,59780011364.0,72909668594.0
