row_label_raw,row_label_full,Cổ đông,Cuối năm > Giá trị VND,Cuối năm > %,Đầu năm > Giá trị VND,Đầu năm > %,numeric__Cuối năm > Giá trị VND,numeric__Cuối năm > %,numeric__Đầu năm > Giá trị VND,numeric__Đầu năm > %
Vốn đầu tư của Nhà Nước,Vốn đầu tư của Nhà Nước,Vốn đầu tư của Nhà Nước,1.182.602.610.000,"49,6",1.095.002.420.000,"51,0",1182602610000.0,49.6,1095002420000.0,51.0
Vốn góp của các cổ đông khác,Vốn góp của các cổ đông khác,Vốn góp của các cổ đông khác,1.199.345.580.000,"50,4",1.050.335.510.000,"49,0",1199345580000.0,50.4,1050335510000.0,49.0
Cộng,Cộng,Cộng,2.381.948.190.000,100,2.145.337.930.000,100,2381948190000.0,100.0,2145337930000.0,100.0
