row_label_raw,row_label_full,Nội dung nghiệp vụ/Bên liên quan,Mối quan hệ,Giá trị giao dịch VND,Số dư cuối kỳ phải thu/(phải trả) VND,numeric__Mối quan hệ,numeric__Giá trị giao dịch VND,numeric__Số dư cuối kỳ phải thu/(phải trả) VND
Công ty CP Đầu tư xây dựng A.T.A,Công ty CP Đầu tư xây dựng A.T.A,Công ty CP Đầu tư xây dựng A.T.A,Bên liên quan,-,4.456.000.000,,,4456000000.0
Phải thu về góp vốn liên doanh,Phải thu về góp vốn liên doanh,Phải thu về góp vốn liên doanh,,-,87.318.359.768,,,87318359768.0
Công ty CP Đầu Tư và thương Mại DIC,Công ty CP Đầu Tư và thương Mại DIC,Công ty CP Đầu Tư và thương Mại DIC,Bên liên quan,-,3.000.000.000,,,3000000000.0
CN Công ty CP Đầu tư XD A.T.A - BQL dự án A.T.A,CN Công ty CP Đầu tư XD A.T.A - BQL dự án A.T.A,CN Công ty CP Đầu tư XD A.T.A - BQL dự án A.T.A,Bên liên quan,-,84.318.359.768,,,84318359768.0
Phải trả về cung cấp dịch vụ,Phải trả về cung cấp dịch vụ,Phải trả về cung cấp dịch vụ,,453.268.709.807,(58.488.425.403),,453268709807.0,-58488425403.0
Công ty CP Đầu tư PT Xây dựng Số 1,Công ty CP Đầu tư PT Xây dựng Số 1,Công ty CP Đầu tư PT Xây dựng Số 1,Công ty con,152.415.901.712,(23.153.842.383),,152415901712.0,-23153842383.0
Công ty CP Du Lịch Và Thương Mại DIC,Công ty CP Du Lịch Và Thương Mại DIC,Công ty CP Du Lịch Và Thương Mại DIC,Công ty con,2.698.612.259,(2.691.183.468),,2698612259.0,-2691183468.0
Công ty CP Vật Liệu Xây dựng DIC,Công ty CP Vật Liệu Xây dựng DIC,Công ty CP Vật Liệu Xây dựng DIC,Công ty con,-,-,,,
Công ty CP Đầu tư PT Xây dựng DIC Số 2,Công ty CP Vật Liệu Xây dựng DIC > Công ty CP Đầu tư PT Xây dựng DIC Số 2,Công ty CP Đầu tư PT Xây dựng DIC Số 2,Công ty con,142.516.040.104,(12.357.690.159),,142516040104.0,-12357690159.0
Công ty CP Bất Đông Sản DIC (môi giới),Công ty CP Vật Liệu Xây dựng DIC > Công ty CP Bất Đông Sản DIC (môi giới),Công ty CP Bất Đông Sản DIC (môi giới),Công ty liên kết,1.616.639.945,(2.313.913.226),,1616639945.0,-2313913226.0
Công ty CP ĐTPTXD Du lịch Thế thao Vũng Tàu,Công ty CP Vật Liệu Xây dựng DIC > Công ty CP ĐTPTXD Du lịch Thế thao Vũng Tàu,Công ty CP ĐTPTXD Du lịch Thế thao Vũng Tàu,Công ty liên kết,138.511.300,-,,138511300.0,
Công ty CP DIC Số 4,Công ty CP Vật Liệu Xây dựng DIC > Công ty CP DIC Số 4,Công ty CP DIC Số 4,Bên liên quan,124.181.461.451,(9.150.325.100),,124181461451.0,-9150325100.0
Công ty CP ĐTPTXD Thanh Bình,Công ty CP Vật Liệu Xây dựng DIC > Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,Bên liên quan,29.701.543.036,(8.821.471.067),,29701543036.0,-8821471067.0
Trả trước ngắn hạn cho người bán,Công ty CP Vật Liệu Xây dựng DIC > Trả trước ngắn hạn cho người bán,Trả trước ngắn hạn cho người bán,,13.262.765.938,147.599.530.342,,13262765938.0,147599530342.0
Công ty CP Vật Liệu Xây dựng DIC,Công ty CP Vật Liệu Xây dựng DIC > Công ty CP Vật Liệu Xây dựng DIC,Công ty CP Vật Liệu Xây dựng DIC,Công ty con,4.752.759.000,879.161.742,,4752759000.0,879161742.0
Công ty CP Bất Đông Sản DIC (xây lắp),Công ty CP Vật Liệu Xây dựng DIC > Công ty CP Bất Đông Sản DIC (xây lắp),Công ty CP Bất Đông Sản DIC (xây lắp),Công ty liên kết,7.387.433.038,3.470.381.534,,7387433038.0,3470381534.0
Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Vật Liệu Xây dựng DIC > Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Đầu tư phát triển Phương Nam,Công ty liên kết,1.122.573.900,143.249.987.066,,1122573900.0,143249987066.0
Phải trả về góp vốn liên doanh,Công ty CP Vật Liệu Xây dựng DIC > Phải trả về góp vốn liên doanh,Phải trả về góp vốn liên doanh,,12.750.000,(9.571.048.714),,12750000.0,-9571048714.0
Công ty CP Bất động sản DIC,Công ty CP Vật Liệu Xây dựng DIC > Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,Công ty liên kết,12.750.000,(7.111.697.483),,12750000.0,-7111697483.0
Công ty CP ĐTPTXD Thanh Bình,Công ty CP Vật Liệu Xây dựng DIC > Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,Bên liên quan,-,(2.459.351.231),,,-2459351231.0
Nhận ký quỹ,Nhận ký quỹ,Nhận ký quỹ,,,,,,
Công ty CP Đầu tư Phát triển XD Bê tông,Nhận ký quỹ > Công ty CP Đầu tư Phát triển XD Bê tông,Công ty CP Đầu tư Phát triển XD Bê tông,Công ty liên kết,-,116.274.962,,,116274962.0
