row_label_raw,row_label_full,7. Hàng tồn kho,Cuối năm VND > Giá trị gốc,Cuối năm VND > Dự phòng,Đầu năm VND > Giá trị gốc,Đầu năm VND > Dự phòng,numeric__Cuối năm VND > Giá trị gốc,numeric__Cuối năm VND > Dự phòng,numeric__Đầu năm VND > Giá trị gốc,numeric__Đầu năm VND > Dự phòng
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",2.399.227.040,-,2.714.641.703,-,2399227040.0,,2714641703.0,
"Chi phí sản xuất, KD dở dang (*)","Chi phí sản xuất, KD dở dang (*)","Chi phí sản xuất, KD dở dang (*)",2.717.020.615.913,-,2.322.102.682.217,-,2717020615913.0,,2322102682217.0,
Thành phẩm bất động sản,Thành phẩm bất động sản,Thành phẩm bất động sản,16.177.240.961,-,-,-,16177240961.0,,,
Hàng hóa bất động sản,Hàng hóa bất động sản,Hàng hóa bất động sản,-,-,25.733.936.735,-,,,25733936735.0,
Cộng,Cộng,Cộng,2.735.597.083.914,-,2.350.551.260.655,-,2735597083914.0,,2350551260655.0,
